                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             6.902581E-02             9.818530E-04             2.954053E-06             5.302208E-05             1.037829E-03             5.013306E-01             5.167239E-02             5.023684E-01
                   0.1800             6.836553E-02            -3.009363E-03            -9.054114E-06             4.434185E-04            -2.574998E-03             5.000724E-01             5.155103E-02             4.974974E-01
                   0.3600             6.861574E-02            -5.944677E-03            -1.788539E-05             7.595348E-04            -5.203028E-03             4.999945E-01             5.155184E-02             4.947914E-01
                   0.5400             6.890408E-02            -8.880136E-03            -2.671700E-05             1.075549E-03            -7.831304E-03             4.999568E-01             5.155033E-02             4.921255E-01
                   0.7200             6.922929E-02            -1.181543E-02            -3.554796E-05             1.391487E-03            -1.045949E-02             4.999621E-01             5.155056E-02             4.895026E-01
                   0.9000             6.959005E-02            -1.474977E-02            -4.437583E-05             1.707364E-03            -1.308678E-02             5.000092E-01             5.155268E-02             4.869224E-01
                   1.0800             6.998506E-02            -1.768297E-02            -5.320002E-05             2.023188E-03            -1.571298E-02             5.000902E-01             5.155020E-02             4.843772E-01
                   1.2600             7.041313E-02            -2.061545E-02            -6.202172E-05             2.338966E-03            -1.833850E-02             5.002093E-01             5.154869E-02             4.818708E-01
                   1.4400             7.087291E-02            -2.354664E-02            -7.083920E-05             2.654704E-03            -2.096277E-02             5.006750E-01             5.154819E-02             4.797123E-01
                   1.6200             7.136311E-02            -2.647646E-02            -7.965215E-05             2.970409E-03            -2.358571E-02             5.015878E-01             5.154872E-02             4.780021E-01
                   1.8000             7.188237E-02            -2.940461E-02            -8.845958E-05             3.286088E-03            -2.620698E-02             5.025248E-01             5.154177E-02             4.763178E-01
                   1.9800             7.242948E-02            -3.233122E-02            -9.726187E-05             3.601750E-03            -2.882673E-02             5.035013E-01             5.154392E-02             4.746746E-01
                   2.1600             7.300308E-02            -3.525586E-02            -1.060577E-04             3.917407E-03            -3.144451E-02             5.045077E-01             5.154717E-02             4.730632E-01
                   2.3400             7.360194E-02            -3.817853E-02            -1.148469E-04             4.233070E-03            -3.406031E-02             5.055325E-01             5.154141E-02             4.714722E-01
