                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                   0.0000             1.458556E-06             1.918321E-07             1.458599E-06             2.395007E-15             2.714524E-08             1.616298E-07             1.455542E-06            -4.380467E-11            -6.536605E-20             1.266723E-06            -1.259172E-07            -2.758546E-07             8.649516E-07
                   0.1800             1.458782E-06             1.919583E-07             1.458042E-06             7.840878E-10             2.712691E-08             1.615480E-07             1.455542E-06            -4.369959E-11            -2.565303E-14             1.266824E-06            -1.259340E-07            -2.759381E-07             8.649516E-07
                   0.3600             1.459028E-06             1.921026E-07             1.457507E-06             1.565276E-09             2.711155E-08             1.614614E-07             1.455542E-06            -4.358941E-11            -5.139984E-14             1.266926E-06            -1.259633E-07            -2.760108E-07             8.649516E-07
                   0.5400             1.459265E-06             1.922412E-07             1.456965E-06             2.343774E-09             2.709675E-08             1.613782E-07             1.455542E-06            -4.348239E-11            -7.723257E-14             1.267024E-06            -1.259914E-07            -2.760808E-07             8.649516E-07
                   0.7200             1.459493E-06             1.923746E-07             1.456416E-06             3.119760E-09             2.708255E-08             1.612982E-07             1.455542E-06            -4.337842E-11            -1.031449E-13             1.267118E-06            -1.260185E-07            -2.761480E-07             8.649516E-07
                   0.9000             1.459711E-06             1.925028E-07             1.455861E-06             3.893394E-09             2.706894E-08             1.612213E-07             1.455542E-06            -4.327746E-11            -1.291314E-13             1.267209E-06            -1.260447E-07            -2.762124E-07             8.649516E-07
                   1.0800             1.459921E-06             1.926259E-07             1.455300E-06             4.664826E-09             2.705594E-08             1.611475E-07             1.455542E-06            -4.317944E-11            -1.551873E-13             1.267295E-06            -1.260699E-07            -2.762740E-07             8.649516E-07
                   1.2600             1.460123E-06             1.927441E-07             1.454732E-06             5.434201E-09             2.704354E-08             1.610768E-07             1.455542E-06            -4.308434E-11            -1.813079E-13             1.267379E-06            -1.260943E-07            -2.763328E-07             8.649516E-07
                   1.4400             1.460316E-06             1.928575E-07             1.454157E-06             6.201658E-09             2.703175E-08             1.610092E-07             1.455542E-06            -4.299214E-11            -2.074889E-13             1.267458E-06            -1.261178E-07            -2.763888E-07             8.649516E-07
                   1.6200             1.460500E-06             1.929659E-07             1.453576E-06             6.967339E-09             2.702055E-08             1.609445E-07             1.455542E-06            -4.290282E-11            -2.337258E-13             1.267534E-06            -1.261405E-07            -2.764420E-07             8.649516E-07
                   1.8000             1.460676E-06             1.930694E-07             1.452987E-06             7.731382E-09             2.700994E-08             1.608829E-07             1.455542E-06            -4.281641E-11            -2.600145E-13             1.267606E-06            -1.261623E-07            -2.764925E-07             8.649516E-07
                   1.9800             1.460843E-06             1.931680E-07             1.452392E-06             8.493926E-09             2.699991E-08             1.608243E-07             1.455542E-06            -4.273289E-11            -2.863507E-13             1.267675E-06            -1.261831E-07            -2.765403E-07             8.649516E-07
                   2.1600             1.461002E-06             1.932616E-07             1.451790E-06             9.255111E-09             2.699045E-08             1.607688E-07             1.455542E-06            -4.265230E-11            -3.127302E-13             1.267740E-06            -1.262031E-07            -2.765854E-07             8.649516E-07
                   2.3400             1.461152E-06             1.933502E-07             1.451180E-06             1.001507E-08             2.698155E-08             1.607163E-07             1.455542E-06            -4.257464E-11            -3.391490E-13             1.267802E-06            -1.262221E-07            -2.766278E-07             8.649516E-07
                   2.5200             1.461293E-06             1.934337E-07             1.450562E-06             1.077395E-08             2.697320E-08             1.606669E-07             1.455542E-06            -4.249992E-11            -3.656027E-13             1.267859E-06            -1.262400E-07            -2.766677E-07             8.649516E-07
                   2.7000             1.461426E-06             1.935121E-07             1.449937E-06             1.153189E-08             2.696539E-08             1.606205E-07             1.455542E-06            -4.242816E-11            -3.920872E-13             1.267914E-06            -1.262569E-07            -2.767050E-07             8.649516E-07
