                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   0.0000             3.260693E+02             3.260693E+02             3.282974E+02             3.282974E+02             3.290009E+02             3.265415E+02             3.259479E+02             3.265415E+02             3.259479E+02
                   0.1800             3.266499E+02             3.266724E+02             3.288317E+02             3.288567E+02             3.295726E+02             3.271213E+02             3.266214E+02             3.271317E+02             3.266342E+02
                   0.3600             3.268445E+02             3.268741E+02             3.290043E+02             3.290384E+02             3.297599E+02             3.273213E+02             3.268659E+02             3.273278E+02             3.268736E+02
                   0.5400             3.268740E+02             3.269084E+02             3.290219E+02             3.290626E+02             3.297870E+02             3.273549E+02             3.269222E+02             3.273592E+02             3.269271E+02
                   0.7200             3.268022E+02             3.268406E+02             3.289445E+02             3.289908E+02             3.297163E+02             3.272875E+02             3.268641E+02             3.272902E+02             3.268669E+02
                   0.9000             3.266880E+02             3.267298E+02             3.288275E+02             3.288788E+02             3.296046E+02             3.271775E+02             3.267572E+02             3.271791E+02             3.267585E+02
                   1.0800             3.265628E+02             3.266073E+02             3.287006E+02             3.287561E+02             3.294820E+02             3.270560E+02             3.266365E+02             3.270565E+02             3.266365E+02
                   1.2600             3.264394E+02             3.264862E+02             3.285760E+02             3.286351E+02             3.293609E+02             3.269358E+02             3.265164E+02             3.269354E+02             3.265153E+02
                   1.4400             3.263226E+02             3.263710E+02             3.284579E+02             3.285201E+02             3.292458E+02             3.268215E+02             3.264021E+02             3.268203E+02             3.264000E+02
                   1.6200             3.262135E+02             3.262633E+02             3.283477E+02             3.284125E+02             3.291381E+02             3.267145E+02             3.262953E+02             3.267125E+02             3.262922E+02
                   1.8000             3.261125E+02             3.261633E+02             3.282455E+02             3.283125E+02             3.290381E+02             3.266152E+02             3.261962E+02             3.266125E+02             3.261922E+02
                   1.9800             3.260194E+02             3.260708E+02             3.281512E+02             3.282200E+02             3.289456E+02             3.265234E+02             3.261048E+02             3.265200E+02             3.260999E+02
                   2.1600             3.259339E+02             3.259856E+02             3.280644E+02             3.281348E+02             3.288603E+02             3.264389E+02             3.260208E+02             3.264347E+02             3.260150E+02
                   2.3400             3.258556E+02             3.259075E+02             3.279850E+02             3.280565E+02             3.287821E+02             3.263615E+02             3.259440E+02             3.263566E+02             3.259373E+02
                   2.5200             3.257843E+02             3.258362E+02             3.279125E+02             3.279851E+02             3.287106E+02             3.262908E+02             3.258740E+02             3.262852E+02             3.258664E+02
                   2.7000             3.257198E+02             3.257716E+02             3.278468E+02             3.279202E+02             3.286458E+02             3.262268E+02             3.258106E+02             3.262204E+02             3.258022E+02
                   2.8800             3.256619E+02             3.257133E+02             3.277877E+02             3.278617E+02             3.285873E+02             3.261691E+02             3.257536E+02             3.261621E+02             3.257444E+02
                   3.0600             3.256102E+02             3.256612E+02             3.277350E+02             3.278094E+02             3.285351E+02             3.261177E+02             3.257029E+02             3.261099E+02             3.256929E+02
                   3.2400             3.255648E+02             3.256153E+02             3.276884E+02             3.277633E+02             3.284889E+02             3.260723E+02             3.256583E+02             3.260639E+02             3.256474E+02
                   3.4200             3.255253E+02             3.255753E+02             3.276479E+02             3.277230E+02             3.284487E+02             3.260329E+02             3.256196E+02             3.260238E+02             3.256078E+02
                   3.6000             3.254917E+02             3.255411E+02             3.276132E+02             3.276886E+02             3.284143E+02             3.259994E+02             3.255867E+02             3.259895E+02             3.255741E+02
                   3.7800             3.254638E+02             3.255126E+02             3.275844E+02             3.276599E+02             3.283856E+02             3.259715E+02             3.255595E+02             3.259609E+02             3.255460E+02
                   3.9600             3.254416E+02             3.254897E+02             3.275611E+02             3.276368E+02             3.283625E+02             3.259492E+02             3.255378E+02             3.259379E+02             3.255235E+02
                   4.1400             3.254248E+02             3.254723E+02             3.275434E+02             3.276192E+02             3.283449E+02             3.259324E+02             3.255215E+02             3.259204E+02             3.255064E+02
                   4.3200             3.254133E+02             3.254602E+02             3.275310E+02             3.276069E+02             3.283327E+02             3.259209E+02             3.255106E+02             3.259082E+02             3.254946E+02
                   4.5000             3.254070E+02             3.254532E+02             3.275238E+02             3.275998E+02             3.283256E+02             3.259146E+02             3.255047E+02             3.259012E+02             3.254880E+02
