                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             7.753193E-02             4.504664E-04             1.354993E-06             7.291307E-05             5.247345E-04             5.498437E-01             7.680656E-02             5.503684E-01
                   0.1800             7.981970E-02            -1.380672E-03            -4.153028E-06             2.473962E-04            -1.137429E-03             5.512548E-01             7.651454E-02             5.501174E-01
                   0.3600             7.995241E-02            -2.727371E-03            -8.203843E-06             5.848659E-04            -2.150709E-03             5.511476E-01             7.652310E-02             5.489969E-01
                   0.5400             8.009076E-02            -4.074137E-03            -1.225481E-05             9.216416E-04            -3.164750E-03             5.510568E-01             7.654091E-02             5.478921E-01
                   0.7200             8.023781E-02            -5.420827E-03            -1.630548E-05             1.257457E-03            -4.179675E-03             5.509846E-01             7.656737E-02             5.468049E-01
                   0.9000             8.039462E-02            -6.767079E-03            -2.035473E-05             1.592231E-03            -5.195202E-03             5.509313E-01             7.660194E-02             5.457361E-01
                   1.0800             8.056145E-02            -8.112808E-03            -2.440230E-05             1.925954E-03            -6.211256E-03             5.508961E-01             7.664347E-02             5.446849E-01
                   1.2600             8.073826E-02            -9.458205E-03            -2.844872E-05             2.258641E-03            -7.228013E-03             5.508771E-01             7.669014E-02             5.436491E-01
                   1.4400             8.092481E-02            -1.080301E-02            -3.249320E-05             2.590320E-03            -8.245186E-03             5.508717E-01             7.673954E-02             5.426265E-01
                   1.6200             8.112082E-02            -1.214719E-02            -3.653561E-05             2.921024E-03            -9.262706E-03             5.508767E-01             7.678873E-02             5.416140E-01
                   1.8000             8.132598E-02            -1.349060E-02            -4.057549E-05             3.250790E-03            -1.028039E-02             5.508885E-01             7.683450E-02             5.406081E-01
                   1.9800             8.154000E-02            -1.483331E-02            -4.461301E-05             3.579658E-03            -1.129826E-02             5.509036E-01             7.687346E-02             5.396053E-01
                   2.1600             8.176253E-02            -1.617511E-02            -4.864755E-05             3.907670E-03            -1.231609E-02             5.509185E-01             7.690253E-02             5.386024E-01
                   2.3400             8.199326E-02            -1.751601E-02            -5.267909E-05             4.234871E-03            -1.333382E-02             5.513463E-01             7.691909E-02             5.380125E-01
                   2.5200             8.223187E-02            -1.885588E-02            -5.670724E-05             4.561310E-03            -1.435128E-02             5.518572E-01             7.692132E-02             5.375059E-01
                   2.7000             8.247803E-02            -2.019465E-02            -6.073173E-05             4.887035E-03            -1.536835E-02             5.523596E-01             7.690843E-02             5.369913E-01
                   2.8800             8.273142E-02            -2.153227E-02            -6.475241E-05             5.212102E-03            -1.638492E-02             5.528535E-01             7.688077E-02             5.364686E-01
                   3.0600             8.299171E-02            -2.286861E-02            -6.876888E-05             5.536563E-03            -1.740081E-02             5.533401E-01             7.683992E-02             5.359393E-01
                   3.2400             8.325859E-02            -2.420363E-02            -7.278097E-05             5.860479E-03            -1.841593E-02             5.538216E-01             7.678860E-02             5.354056E-01
                   3.4200             8.353173E-02            -2.553725E-02            -7.678845E-05             6.183908E-03            -1.943014E-02             5.543012E-01             7.673052E-02             5.348711E-01
                   3.6000             8.381083E-02            -2.686940E-02            -8.079102E-05             6.506914E-03            -2.044328E-02             5.547830E-01             7.667002E-02             5.343397E-01
                   3.7800             8.409557E-02            -2.819998E-02            -8.478842E-05             6.829561E-03            -2.145521E-02             5.552711E-01             7.661180E-02             5.338159E-01
                   3.9600             8.438563E-02            -2.952894E-02            -8.878045E-05             7.151915E-03            -2.246580E-02             5.557699E-01             7.656050E-02             5.333041E-01
                   4.1400             8.468073E-02            -3.085617E-02            -9.276679E-05             7.474040E-03            -2.347490E-02             5.562830E-01             7.652024E-02             5.328081E-01
                   4.3200             8.498055E-02            -3.218163E-02            -9.674723E-05             7.796002E-03            -2.448237E-02             5.568133E-01             7.649433E-02             5.323309E-01
                   4.5000             8.528481E-02            -3.350521E-02            -1.007215E-04             8.117856E-03            -2.548807E-02             5.573627E-01             7.648496E-02             5.318746E-01
                   4.6800             8.559324E-02            -3.482685E-02            -1.046893E-04             8.439639E-03            -2.649190E-02             5.579317E-01             7.649298E-02             5.314398E-01
                   4.8600             8.590561E-02            -3.614648E-02            -1.086505E-04             8.761317E-03            -2.749382E-02             5.585196E-01             7.651787E-02             5.310258E-01
                   5.0400             8.622177E-02            -3.746402E-02            -1.126048E-04             9.082659E-03            -2.849397E-02             5.591250E-01             7.655771E-02             5.306310E-01
                   5.2200             8.654167E-02            -3.877939E-02            -1.165519E-04             9.403379E-03            -2.949256E-02             5.597452E-01             7.660942E-02             5.302526E-01
                   5.4000             8.686520E-02            -4.009251E-02            -1.204916E-04             9.723416E-03            -3.048959E-02             5.603761E-01             7.666905E-02             5.298865E-01
                   5.5800             8.719223E-02            -4.140331E-02            -1.244236E-04             1.004276E-02            -3.148498E-02             5.610133E-01             7.673214E-02             5.295283E-01
                   5.7600             8.752261E-02            -4.271173E-02            -1.283477E-04             1.036141E-02            -3.247867E-02             5.616519E-01             7.679410E-02             5.291733E-01
                   5.9400             8.785622E-02            -4.401766E-02            -1.322636E-04             1.067935E-02            -3.347057E-02             5.622875E-01             7.685057E-02             5.288169E-01
                   6.1200             8.819291E-02            -4.532105E-02            -1.361711E-04             1.099659E-02            -3.446064E-02             5.629160E-01             7.689775E-02             5.284553E-01
                   6.3000             8.853257E-02            -4.662183E-02            -1.400700E-04             1.131311E-02            -3.544880E-02             5.635343E-01             7.693264E-02             5.280855E-01
                   6.4800             8.887506E-02            -4.791991E-02            -1.439600E-04             1.162891E-02            -3.643496E-02             5.641402E-01             7.695326E-02             5.277053E-01
                   6.6600             8.922025E-02            -4.921522E-02            -1.478408E-04             1.194399E-02            -3.741908E-02             5.647328E-01             7.695868E-02             5.273137E-01
                   6.8400             8.956801E-02            -5.050769E-02            -1.517123E-04             1.225834E-02            -3.840106E-02             5.653118E-01             7.694904E-02             5.269108E-01
                   7.0200             8.991821E-02            -5.179724E-02            -1.555741E-04             1.257196E-02            -3.938086E-02             5.658784E-01             7.692544E-02             5.264976E-01
                   7.2000             9.027072E-02            -5.308380E-02            -1.594261E-04             1.288484E-02            -4.035838E-02             5.664342E-01             7.688979E-02             5.260758E-01
                   7.3800             9.062543E-02            -5.436730E-02            -1.632679E-04             1.319699E-02            -4.133358E-02             5.669816E-01             7.684459E-02             5.256481E-01
                   7.5600             9.098220E-02            -5.564766E-02            -1.670994E-04             1.350840E-02            -4.230637E-02             5.675233E-01             7.679270E-02             5.252170E-01
                   7.7400             9.134091E-02            -5.692481E-02            -1.709204E-04             1.381906E-02            -4.327667E-02             5.680622E-01             7.673714E-02             5.247855E-01
                   7.9200             9.170145E-02            -5.819869E-02            -1.747305E-04             1.412899E-02            -4.424443E-02             5.686010E-01             7.668086E-02             5.243566E-01
                   8.1000             9.206369E-02            -5.946921E-02            -1.785295E-04             1.443817E-02            -4.520957E-02             5.691423E-01             7.662654E-02             5.239327E-01
                   8.2800             9.242751E-02            -6.073630E-02            -1.823173E-04             1.474660E-02            -4.617201E-02             5.696882E-01             7.657650E-02             5.235162E-01
                   8.4600             9.279280E-02            -6.199989E-02            -1.860935E-04             1.505430E-02            -4.713168E-02             5.702405E-01             7.653258E-02             5.231088E-01
                   8.6400             9.315944E-02            -6.325991E-02            -1.898580E-04             1.536126E-02            -4.808851E-02             5.708003E-01             7.649611E-02             5.227118E-01
                   8.8200             9.352733E-02            -6.451630E-02            -1.936104E-04             1.566748E-02            -4.904243E-02             5.713683E-01             7.646787E-02             5.223259E-01
                   9.0000             9.389635E-02            -6.576897E-02            -1.973507E-04             1.597297E-02            -4.999335E-02             5.719447E-01             7.644820E-02             5.219513E-01
                   9.1800             9.426639E-02            -6.701786E-02            -2.010785E-04             1.627773E-02            -5.094121E-02             5.725291E-01             7.643696E-02             5.215879E-01
                   9.3600             9.463735E-02            -6.826290E-02            -2.047936E-04             1.658177E-02            -5.188593E-02             5.731210E-01             7.643367E-02             5.212351E-01
                   9.5400             9.500912E-02            -6.950402E-02            -2.084958E-04             1.688509E-02            -5.282742E-02             5.737195E-01             7.643759E-02             5.208921E-01
                   9.7200             9.538160E-02            -7.074114E-02            -2.121849E-04             1.718770E-02            -5.376562E-02             5.743235E-01             7.644776E-02             5.205579E-01
                   9.9000             9.575469E-02            -7.197420E-02            -2.158606E-04             1.748961E-02            -5.470045E-02             5.749318E-01             7.646312E-02             5.202314E-01
                  10.0800             9.612831E-02            -7.320314E-02            -2.195227E-04             1.779083E-02            -5.563183E-02             5.755432E-01             7.648257E-02             5.199114E-01
                  10.2600             9.650234E-02            -7.442787E-02            -2.231710E-04             1.809137E-02            -5.655968E-02             5.761565E-01             7.650503E-02             5.195968E-01
                  10.4400             9.687671E-02            -7.564834E-02            -2.268053E-04             1.839123E-02            -5.748391E-02             5.767705E-01             7.652946E-02             5.192866E-01
                  10.6200             9.725133E-02            -7.686447E-02            -2.304253E-04             1.869044E-02            -5.840445E-02             5.773842E-01             7.655493E-02             5.189797E-01
                  10.8000             9.762611E-02            -7.807620E-02            -2.340309E-04             1.898901E-02            -5.932123E-02             5.779966E-01             7.658063E-02             5.186754E-01
                  10.9800             9.800096E-02            -7.928346E-02            -2.376218E-04             1.928694E-02            -6.023414E-02             5.786070E-01             7.660586E-02             5.183729E-01
                  11.1600             9.837582E-02            -8.048618E-02            -2.411978E-04             1.958425E-02            -6.114312E-02             5.792147E-01             7.663004E-02             5.180715E-01
                  11.3400             9.875061E-02            -8.168430E-02            -2.447587E-04             1.988097E-02            -6.204809E-02             5.798190E-01             7.665272E-02             5.177709E-01
                  11.5200             9.912526E-02            -8.287775E-02            -2.483043E-04             2.017710E-02            -6.294895E-02             5.804197E-01             7.667354E-02             5.174707E-01
                  11.7000             9.949969E-02            -8.406646E-02            -2.518343E-04             2.047267E-02            -6.384562E-02             5.810162E-01             7.669224E-02             5.171706E-01
                  11.8800             9.987385E-02            -8.525037E-02            -2.553486E-04             2.076769E-02            -6.473802E-02             5.816084E-01             7.670863E-02             5.168704E-01
                  12.0600             1.002477E-01            -8.642941E-02            -2.588469E-04             2.106219E-02            -6.562607E-02             5.821961E-01             7.672258E-02             5.165700E-01
                  12.2400             1.006211E-01            -8.760352E-02            -2.623290E-04             2.135618E-02            -6.650967E-02             5.827790E-01             7.673402E-02             5.162693E-01
                  12.4200             1.009941E-01            -8.877264E-02            -2.657948E-04             2.164968E-02            -6.738875E-02             5.833570E-01             7.674286E-02             5.159683E-01
                  12.6000             1.013666E-01            -8.993670E-02            -2.692440E-04             2.194272E-02            -6.826322E-02             5.839301E-01             7.674908E-02             5.156669E-01
                  12.7800             1.017385E-01            -9.109563E-02            -2.726764E-04             2.223532E-02            -6.913299E-02             5.844981E-01             7.675263E-02             5.153652E-01
                  12.9600             1.021099E-01            -9.224938E-02            -2.760919E-04             2.252751E-02            -6.999797E-02             5.850610E-01             7.675348E-02             5.150630E-01
                  13.1400             1.024807E-01            -9.339788E-02            -2.794902E-04             2.281929E-02            -7.085808E-02             5.856186E-01             7.675158E-02             5.147606E-01
                  13.3200             1.028508E-01            -9.454107E-02            -2.828711E-04             2.311071E-02            -7.171324E-02             5.861710E-01             7.674689E-02             5.144577E-01
                  13.5000             1.032202E-01            -9.567889E-02            -2.862344E-04             2.340177E-02            -7.256335E-02             5.867178E-01             7.673936E-02             5.141545E-01
                  13.6800             1.035890E-01            -9.681127E-02            -2.895800E-04             2.369252E-02            -7.340833E-02             5.872592E-01             7.672894E-02             5.138509E-01
                  13.8600             1.039570E-01            -9.793815E-02            -2.929076E-04             2.398297E-02            -7.424810E-02             5.877951E-01             7.671560E-02             5.135470E-01
                  14.0400             1.043242E-01            -9.905948E-02            -2.962170E-04             2.427314E-02            -7.508256E-02             5.883254E-01             7.669932E-02             5.132428E-01
                  14.2200             1.046907E-01            -1.001752E-01            -2.995081E-04             2.456306E-02            -7.591164E-02             5.888501E-01             7.668014E-02             5.129384E-01
                  14.4000             1.050565E-01            -1.012852E-01            -3.027807E-04             2.485276E-02            -7.673525E-02             5.893693E-01             7.665814E-02             5.126340E-01
                  14.5800             1.054215E-01            -1.023895E-01            -3.060345E-04             2.514227E-02            -7.755331E-02             5.898832E-01             7.663347E-02             5.123299E-01
                  14.7600             1.057856E-01            -1.034880E-01            -3.092695E-04             2.543159E-02            -7.836572E-02             5.903920E-01             7.660639E-02             5.120262E-01
                  14.9400             1.061491E-01            -1.045807E-01            -3.124854E-04             2.572076E-02            -7.917242E-02             5.908960E-01             7.657725E-02             5.117236E-01
                  15.1200             1.065117E-01            -1.056674E-01            -3.156820E-04             2.600981E-02            -7.997332E-02             5.913959E-01             7.654656E-02             5.114226E-01
                  15.3000             1.068736E-01            -1.067482E-01            -3.188591E-04             2.629875E-02            -8.076833E-02             5.918923E-01             7.651494E-02             5.111239E-01
                  15.4800             1.072347E-01            -1.078230E-01            -3.220166E-04             2.658761E-02            -8.155738E-02             5.923859E-01             7.648320E-02             5.108285E-01
                  15.6600             1.075951E-01            -1.088916E-01            -3.251544E-04             2.687641E-02            -8.234039E-02             5.928777E-01             7.645227E-02             5.105373E-01
                  15.8400             1.079547E-01            -1.099542E-01            -3.282721E-04             2.716518E-02            -8.311728E-02             5.933689E-01             7.642323E-02             5.102516E-01
                  16.0200             1.083136E-01            -1.110105E-01            -3.313697E-04             2.745392E-02            -8.388797E-02             5.938606E-01             7.639729E-02             5.099727E-01
                  16.2000             1.086719E-01            -1.120606E-01            -3.344470E-04             2.774266E-02            -8.465240E-02             5.943543E-01             7.637574E-02             5.097019E-01
                  16.3800             1.090294E-01            -1.131044E-01            -3.375038E-04             2.803143E-02            -8.541048E-02             5.948513E-01             7.635990E-02             5.094408E-01
                  16.5600             1.093864E-01            -1.141418E-01            -3.405399E-04             2.832023E-02            -8.616215E-02             5.953529E-01             7.635109E-02             5.091908E-01
                  16.7400             1.097427E-01            -1.151729E-01            -3.435552E-04             2.860909E-02            -8.690733E-02             5.958604E-01             7.635051E-02             5.089531E-01
                  16.9200             1.100984E-01            -1.161974E-01            -3.465496E-04             2.889802E-02            -8.764595E-02             5.963749E-01             7.635918E-02             5.087289E-01
                  17.1000             1.104535E-01            -1.172155E-01            -3.495227E-04             2.918703E-02            -8.837795E-02             5.968972E-01             7.637787E-02             5.085192E-01
                  17.2800             1.108081E-01            -1.182269E-01            -3.524746E-04             2.947615E-02            -8.910327E-02             5.974277E-01             7.640699E-02             5.083245E-01
                  17.4600             1.111622E-01            -1.192318E-01            -3.554050E-04             2.976537E-02            -8.982183E-02             5.979666E-01             7.644652E-02             5.081448E-01
