                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -2.082072E+01            -5.679643E+00
                   0.1800            -3.394677E-04            -2.082059E+01             1.740810E+01
                   0.3600            -6.789309E-04            -2.082018E+01             3.438844E+01
                   0.5400            -1.018385E-03            -2.081949E+01             5.137077E+01
                   0.7200            -1.357826E-03            -2.081852E+01             6.835390E+01
                   0.9000            -1.697248E-03            -2.081727E+01             8.533381E+01
                   1.0800            -2.036648E-03            -2.081575E+01             1.023100E+02
                   1.2600            -2.376021E-03            -2.081395E+01             1.192855E+02
                   1.4400            -2.715363E-03            -2.081187E+01             1.362577E+02
                   1.6200            -3.054668E-03            -2.080952E+01             1.532265E+02
                   1.8000            -3.393932E-03            -2.080689E+01             1.701908E+02
                   1.9800            -3.733152E-03            -2.080398E+01             1.871520E+02
                   2.1600            -4.072322E-03            -2.080080E+01             2.041082E+02
                   2.3400            -4.411437E-03            -2.079734E+01             2.210599E+02
                   2.5200            -4.750494E-03            -2.079361E+01             2.380062E+02
                   2.7000            -5.089488E-03            -2.078960E+01             2.549466E+02
                   2.8800            -5.428414E-03            -2.078531E+01             2.718811E+02
                   3.0600            -5.767269E-03            -2.078074E+01             2.888088E+02
                   3.2400            -6.106046E-03            -2.077590E+01             3.057296E+02
                   3.4200            -6.444742E-03            -2.077079E+01             3.226432E+02
                   3.6000            -6.783353E-03            -2.076540E+01             3.395490E+02
                   3.7800            -7.121873E-03            -2.075973E+01             3.564466E+02
                   3.9600            -7.460299E-03            -2.075379E+01             3.733358E+02
                   4.1400            -7.798626E-03            -2.074757E+01             3.902158E+02
                   4.3200            -8.136849E-03            -2.074108E+01             4.070866E+02
                   4.5000            -8.474964E-03            -2.073431E+01             4.239476E+02
                   4.6800            -8.812966E-03            -2.072727E+01             4.407984E+02
                   4.8600            -9.150851E-03            -2.071995E+01             4.576387E+02
                   5.0400            -9.488615E-03            -2.071236E+01             4.744680E+02
                   5.2200            -9.826253E-03            -2.070449E+01             4.912859E+02
                   5.4000            -1.016376E-02            -2.069635E+01             5.080921E+02
                   5.5800            -1.050113E-02            -2.068794E+01             5.248861E+02
                   5.7600            -1.083836E-02            -2.067925E+01             5.416676E+02
                   5.9400            -1.117545E-02            -2.067029E+01             5.584360E+02
                   6.1200            -1.151239E-02            -2.066105E+01             5.751912E+02
                   6.3000            -1.184918E-02            -2.065154E+01             5.919326E+02
                   6.4800            -1.218581E-02            -2.064176E+01             6.086598E+02
                   6.6600            -1.252228E-02            -2.063171E+01             6.253725E+02
                   6.8400            -1.285858E-02            -2.062138E+01             6.420702E+02
                   7.0200            -1.319472E-02            -2.061079E+01             6.587526E+02
                   7.2000            -1.353067E-02            -2.059992E+01             6.754193E+02
                   7.3800            -1.386645E-02            -2.058878E+01             6.920699E+02
                   7.5600            -1.420205E-02            -2.057736E+01             7.087040E+02
                   7.7400            -1.453745E-02            -2.056568E+01             7.253211E+02
                   7.9200            -1.487266E-02            -2.055373E+01             7.419211E+02
                   8.1000            -1.520768E-02            -2.054150E+01             7.585033E+02
                   8.2800            -1.554249E-02            -2.052901E+01             7.750675E+02
                   8.4600            -1.587710E-02            -2.051624E+01             7.916132E+02
                   8.6400            -1.621150E-02            -2.050321E+01             8.081400E+02
                   8.8200            -1.654568E-02            -2.048990E+01             8.246477E+02
                   9.0000            -1.687965E-02            -2.047633E+01             8.411358E+02
                   9.1800            -1.721339E-02            -2.046249E+01             8.576039E+02
                   9.3600            -1.754690E-02            -2.044838E+01             8.740517E+02
                   9.5400            -1.788018E-02            -2.043400E+01             8.904786E+02
                   9.7200            -1.821323E-02            -2.041935E+01             9.068845E+02
                   9.9000            -1.854603E-02            -2.040444E+01             9.232689E+02
                  10.0800            -1.887859E-02            -2.038926E+01             9.396314E+02
                  10.2600            -1.921089E-02            -2.037381E+01             9.559717E+02
                  10.4400            -1.954295E-02            -2.035810E+01             9.722894E+02
                  10.6200            -1.987474E-02            -2.034212E+01             9.885840E+02
                  10.8000            -2.020628E-02            -2.032588E+01             1.004855E+03
                  10.9800            -2.053754E-02            -2.030937E+01             1.021103E+03
                  11.1600            -2.086854E-02            -2.029259E+01             1.037326E+03
                  11.3400            -2.119926E-02            -2.027555E+01             1.053525E+03
                  11.5200            -2.152970E-02            -2.025825E+01             1.069699E+03
                  11.7000            -2.185985E-02            -2.024069E+01             1.085848E+03
                  11.8800            -2.218972E-02            -2.022286E+01             1.101972E+03
                  12.0600            -2.251929E-02            -2.020477E+01             1.118069E+03
                  12.2400            -2.284857E-02            -2.018641E+01             1.134140E+03
                  12.4200            -2.317754E-02            -2.016780E+01             1.150185E+03
                  12.6000            -2.350621E-02            -2.014892E+01             1.166202E+03
                  12.7800            -2.383457E-02            -2.012978E+01             1.182192E+03
                  12.9600            -2.416262E-02            -2.011038E+01             1.198155E+03
                  13.1400            -2.449034E-02            -2.009072E+01             1.214089E+03
                  13.3200            -2.481775E-02            -2.007081E+01             1.229995E+03
                  13.5000            -2.514482E-02            -2.005063E+01             1.245872E+03
                  13.6800            -2.547157E-02            -2.003019E+01             1.261720E+03
                  13.8600            -2.579798E-02            -2.000950E+01             1.277538E+03
                  14.0400            -2.612405E-02            -1.998855E+01             1.293327E+03
                  14.2200            -2.644978E-02            -1.996734E+01             1.309085E+03
                  14.4000            -2.677516E-02            -1.994587E+01             1.324813E+03
                  14.5800            -2.710019E-02            -1.992415E+01             1.340511E+03
                  14.7600            -2.742486E-02            -1.990217E+01             1.356176E+03
                  14.9400            -2.774917E-02            -1.987994E+01             1.371811E+03
                  15.1200            -2.807312E-02            -1.985745E+01             1.387413E+03
                  15.3000            -2.839669E-02            -1.983471E+01             1.402983E+03
                  15.4800            -2.871990E-02            -1.981172E+01             1.418521E+03
                  15.6600            -2.904273E-02            -1.978847E+01             1.434026E+03
                  15.8400            -2.936517E-02            -1.976497E+01             1.449498E+03
                  16.0200            -2.968723E-02            -1.974121E+01             1.464936E+03
                  16.2000            -3.000891E-02            -1.971721E+01             1.480340E+03
                  16.3800            -3.033019E-02            -1.969296E+01             1.495710E+03
