                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   0.0000             3.276786E+02             3.276899E+02             3.276786E+02             3.276899E+02             3.312015E+02             3.305175E+02             3.312015E+02             3.305175E+02             3.323870E+02             3.315581E+02
                   0.1800             3.276661E+02             3.276822E+02             3.277025E+02             3.277181E+02             3.311749E+02             3.304982E+02             3.312158E+02             3.305378E+02             3.324038E+02             3.315808E+02
                   0.3600             3.276170E+02             3.276366E+02             3.276723E+02             3.276896E+02             3.311190E+02             3.304459E+02             3.311815E+02             3.305059E+02             3.323706E+02             3.315499E+02
                   0.5400             3.275661E+02             3.275890E+02             3.276353E+02             3.276539E+02             3.310628E+02             3.303926E+02             3.311414E+02             3.304677E+02             3.323313E+02             3.315123E+02
                   0.7200             3.275144E+02             3.275403E+02             3.275949E+02             3.276144E+02             3.310065E+02             3.303390E+02             3.310986E+02             3.304262E+02             3.322890E+02             3.314714E+02
                   0.9000             3.274632E+02             3.274918E+02             3.275533E+02             3.275737E+02             3.309512E+02             3.302860E+02             3.310551E+02             3.303839E+02             3.322460E+02             3.314295E+02
                   1.0800             3.274136E+02             3.274447E+02             3.275122E+02             3.275333E+02             3.308977E+02             3.302348E+02             3.310123E+02             3.303421E+02             3.322035E+02             3.313880E+02
                   1.2600             3.273663E+02             3.273996E+02             3.274724E+02             3.274941E+02             3.308468E+02             3.301859E+02             3.309710E+02             3.303017E+02             3.321626E+02             3.313479E+02
                   1.4400             3.273216E+02             3.273569E+02             3.274345E+02             3.274568E+02             3.307986E+02             3.301397E+02             3.309317E+02             3.302633E+02             3.321236E+02             3.313097E+02
                   1.6200             3.272797E+02             3.273170E+02             3.273988E+02             3.274216E+02             3.307536E+02             3.300964E+02             3.308948E+02             3.302271E+02             3.320869E+02             3.312737E+02
                   1.8000             3.272409E+02             3.272799E+02             3.273655E+02             3.273887E+02             3.307116E+02             3.300562E+02             3.308603E+02             3.301933E+02             3.320526E+02             3.312401E+02
                   1.9800             3.272051E+02             3.272456E+02             3.273346E+02             3.273582E+02             3.306727E+02             3.300190E+02             3.308284E+02             3.301620E+02             3.320209E+02             3.312090E+02
                   2.1600             3.271722E+02             3.272141E+02             3.273062E+02             3.273302E+02             3.306370E+02             3.299848E+02             3.307991E+02             3.301332E+02             3.319917E+02             3.311803E+02
                   2.3400             3.271423E+02             3.271855E+02             3.272803E+02             3.273047E+02             3.306043E+02             3.299535E+02             3.307723E+02             3.301070E+02             3.319650E+02             3.311542E+02
                   2.5200             3.271152E+02             3.271596E+02             3.272569E+02             3.272816E+02             3.305747E+02             3.299252E+02             3.307481E+02             3.300832E+02             3.319409E+02             3.311305E+02
                   2.7000             3.270910E+02             3.271365E+02             3.272360E+02             3.272610E+02             3.305479E+02             3.298998E+02             3.307265E+02             3.300620E+02             3.319194E+02             3.311094E+02
                   2.8800             3.270695E+02             3.271160E+02             3.272176E+02             3.272428E+02             3.305241E+02             3.298771E+02             3.307074E+02             3.300433E+02             3.319003E+02             3.310907E+02
                   3.0600             3.270507E+02             3.270981E+02             3.272016E+02             3.272271E+02             3.305031E+02             3.298572E+02             3.306908E+02             3.300271E+02             3.318837E+02             3.310745E+02
                   3.2400             3.270346E+02             3.270828E+02             3.271880E+02             3.272136E+02             3.304848E+02             3.298400E+02             3.306767E+02             3.300132E+02             3.318696E+02             3.310607E+02
                   3.4200             3.270210E+02             3.270699E+02             3.271767E+02             3.272026E+02             3.304692E+02             3.298253E+02             3.306650E+02             3.300018E+02             3.318579E+02             3.310492E+02
                   3.6000             3.270099E+02             3.270594E+02             3.271678E+02             3.271937E+02             3.304562E+02             3.298132E+02             3.306557E+02             3.299927E+02             3.318485E+02             3.310400E+02
                   3.7800             3.270012E+02             3.270513E+02             3.271611E+02             3.271871E+02             3.304457E+02             3.298035E+02             3.306486E+02             3.299858E+02             3.318415E+02             3.310331E+02
                   3.9600             3.269947E+02             3.270453E+02             3.271565E+02             3.271826E+02             3.304375E+02             3.297961E+02             3.306438E+02             3.299810E+02             3.318365E+02             3.310283E+02
                   4.1400             3.269902E+02             3.270413E+02             3.271538E+02             3.271800E+02             3.304315E+02             3.297907E+02             3.306409E+02             3.299782E+02             3.318335E+02             3.310254E+02
