                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -1.079856E+00            -4.851219E+01             3.786354E+00             5.154210E+00             1.367856E+00             1.992301E+01             1.996991E+01
                   0.1800            -2.601384E+00            -5.012443E+01             2.680163E+00             4.548143E+00             1.875005E+00             2.077320E+01             2.085765E+01
                   0.3600            -3.157241E+00            -5.016872E+01             2.172907E+00             4.538664E+00             2.379800E+00             2.085251E+01             2.098787E+01
                   0.5400            -3.711811E+00            -5.021328E+01             1.666629E+00             4.530659E+00             2.885084E+00             2.093233E+01             2.113022E+01
                   0.7200            -4.265358E+00            -5.025869E+01             1.161195E+00             4.523897E+00             3.390753E+00             2.101285E+01             2.128467E+01
                   0.9000            -4.817943E+00            -5.030525E+01             6.566210E-01             4.518234E+00             3.896645E+00             2.109414E+01             2.145103E+01
                   1.0800            -5.369659E+00            -5.035315E+01             1.528595E-01             4.513586E+00             4.402721E+00             2.117621E+01             2.162905E+01
                   1.2600            -5.920661E+00            -5.040252E+01            -3.502141E-01             4.509905E+00             4.909057E+00             2.125907E+01             2.181850E+01
                   1.4400            -6.470907E+00            -5.045339E+01            -8.525478E-01             4.507159E+00             5.415564E+00             2.134266E+01             2.201902E+01
                   1.6200            -7.020425E+00            -5.050579E+01            -1.354160E+00             4.505327E+00             5.922242E+00             2.142693E+01             2.223030E+01
                   1.8000            -7.569192E+00            -5.055972E+01            -1.855028E+00             4.504397E+00             6.429051E+00             2.151182E+01             2.245197E+01
                   1.9800            -8.117262E+00            -5.061518E+01            -2.355200E+00             4.504361E+00             6.936034E+00             2.159727E+01             2.268371E+01
                   2.1600            -8.664583E+00            -5.067217E+01            -2.854630E+00             4.505210E+00             7.443134E+00             2.168320E+01             2.292512E+01
                   2.3400            -9.211177E+00            -5.073066E+01            -3.353338E+00             4.506941E+00             7.950368E+00             2.176954E+01             2.317587E+01
                   2.5200            -9.757022E+00            -5.079064E+01            -3.851304E+00             4.509546E+00             8.457710E+00             2.185621E+01             2.343559E+01
                   2.7000            -1.030211E+01            -5.085209E+01            -4.348523E+00             4.513022E+00             8.965150E+00             2.194314E+01             2.370391E+01
                   2.8800            -1.084644E+01            -5.091500E+01            -4.844999E+00             4.517362E+00             9.472688E+00             2.203027E+01             2.398050E+01
                   3.0600            -1.138999E+01            -5.097933E+01            -5.340713E+00             4.522559E+00             9.980300E+00             2.211750E+01             2.426500E+01
                   3.2400            -1.193278E+01            -5.104506E+01            -5.835673E+00             4.528604E+00             1.048799E+01             2.220476E+01             2.455706E+01
                   3.4200            -1.247479E+01            -5.111217E+01            -6.329880E+00             4.535486E+00             1.099574E+01             2.229199E+01             2.485637E+01
                   3.6000            -1.301602E+01            -5.118062E+01            -6.823331E+00             4.543189E+00             1.150354E+01             2.237910E+01             2.516258E+01
                   3.7800            -1.355648E+01            -5.125035E+01            -7.316033E+00             4.551687E+00             1.201137E+01             2.246603E+01             2.547539E+01
                   3.9600            -1.409620E+01            -5.132131E+01            -7.808014E+00             4.560938E+00             1.251923E+01             2.255271E+01             2.579449E+01
                   4.1400            -1.463521E+01            -5.139336E+01            -8.299310E+00             4.570865E+00             1.302706E+01             2.263908E+01             2.611957E+01
                   4.3200            -1.517364E+01            -5.146628E+01            -8.790036E+00             4.581303E+00             1.353483E+01             2.272510E+01             2.645036E+01
                   4.5000            -1.571169E+01            -5.153967E+01            -9.280379E+00             4.591962E+00             1.404242E+01             2.281078E+01             2.678659E+01
                   4.6800            -1.624954E+01            -5.161320E+01            -9.770500E+00             4.602607E+00             1.454975E+01             2.289615E+01             2.712801E+01
                   4.8600            -1.678722E+01            -5.168678E+01            -1.026044E+01             4.613172E+00             1.505680E+01             2.298121E+01             2.747441E+01
                   5.0400            -1.732473E+01            -5.176036E+01            -1.075018E+01             4.623649E+00             1.556355E+01             2.306594E+01             2.782556E+01
                   5.2200            -1.786204E+01            -5.183396E+01            -1.123973E+01             4.634039E+00             1.606999E+01             2.315034E+01             2.818125E+01
                   5.4000            -1.839914E+01            -5.190754E+01            -1.172907E+01             4.644344E+00             1.657611E+01             2.323440E+01             2.854128E+01
                   5.5800            -1.893601E+01            -5.198110E+01            -1.221819E+01             4.654566E+00             1.708191E+01             2.331810E+01             2.890546E+01
                   5.7600            -1.947264E+01            -5.205463E+01            -1.270708E+01             4.664707E+00             1.758737E+01             2.340144E+01             2.927359E+01
                   5.9400            -2.000901E+01            -5.212811E+01            -1.319573E+01             4.674767E+00             1.809249E+01             2.348440E+01             2.964549E+01
                   6.1200            -2.054511E+01            -5.220153E+01            -1.368413E+01             4.684749E+00             1.859726E+01             2.356696E+01             3.002099E+01
                   6.3000            -2.108091E+01            -5.227489E+01            -1.417227E+01             4.694655E+00             1.910167E+01             2.364912E+01             3.039991E+01
                   6.4800            -2.161639E+01            -5.234816E+01            -1.466014E+01             4.704486E+00             1.960571E+01             2.373085E+01             3.078208E+01
