                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                   0.0000             1.824999E+01             3.551798E-02             1.081826E-01             5.000004E-01             5.000834E-01
                   0.1800             1.825957E+01             3.833206E-02             1.300427E-01             4.997379E-01             4.886704E+00
                   0.3600             1.825920E+01             3.904567E-02             1.221684E-01             4.997478E-01             5.118881E+00
                   0.5400             1.825882E+01             3.925624E-02             1.161476E-01             4.997584E-01             5.343803E+00
                   0.7200             1.825843E+01             3.903071E-02             1.117284E-01             4.997691E-01             5.569187E+00
                   0.9000             1.825804E+01             3.852594E-02             1.087389E-01             4.997798E-01             5.799150E+00
                   1.0800             1.825766E+01             3.804182E-02             1.070280E-01             4.997902E-01             6.034596E+00
                   1.2600             1.825730E+01             3.793301E-02             1.064666E-01             4.998000E-01             6.275576E+00
                   1.4400             1.825696E+01             3.839855E-02             1.070516E-01             4.998093E-01             2.388053E-01
                   1.6200             1.825665E+01             3.931572E-02             1.089936E-01             4.998178E-01             4.903565E-01
                   1.8000             1.825637E+01             4.028598E-02             1.127048E-01             4.998255E-01             7.468072E-01
                   1.9800             1.825614E+01             4.087044E-02             1.186620E-01             4.998319E-01             1.007549E+00
                   2.1600             1.825597E+01             4.080452E-02             1.272064E-01             4.998365E-01             1.272323E+00
                   2.3400             1.825588E+01             4.003504E-02             1.383037E-01             4.998388E-01             1.540641E+00
                   2.5200             1.825591E+01             3.864662E-02             1.513952E-01             4.998380E-01             1.812213E+00
                   2.7000             1.825607E+01             3.678370E-02             1.653661E-01             4.998338E-01             2.086687E+00
                   2.8800             1.825634E+01             3.461422E-02             1.786817E-01             4.998262E-01             2.363664E+00
                   3.0600             1.825673E+01             3.233354E-02             1.896585E-01             4.998157E-01             2.642905E+00
                   3.2400             1.825718E+01             3.024662E-02             1.967668E-01             4.998033E-01             2.924020E+00
                   3.4200             1.825765E+01             2.956563E-02             1.989388E-01             4.997903E-01             3.206706E+00
                   3.6000             1.825810E+01             3.169215E-02             1.957822E-01             4.997782E-01             3.490691E+00
                   3.7800             1.825847E+01             3.446678E-02             1.876759E-01             4.997680E-01             3.775718E+00
                   3.9600             1.825873E+01             3.735839E-02             1.757278E-01             4.997608E-01             4.061461E+00
                   4.1400             1.825888E+01             4.010208E-02             1.615742E-01             4.997568E-01             4.347668E+00
                   4.3200             1.825890E+01             4.246526E-02             1.470652E-01             4.997560E-01             4.633986E+00
                   4.5000             1.825884E+01             4.421499E-02             1.338827E-01             4.997578E-01             4.919920E+00
                   4.6800             1.825871E+01             4.515096E-02             1.231877E-01             4.997614E-01             5.205077E+00
                   4.8600             1.825854E+01             4.521396E-02             1.154578E-01             4.997660E-01             5.489151E+00
                   5.0400             1.825836E+01             4.465176E-02             1.105659E-01             4.997710E-01             5.771855E+00
                   5.2200             1.825817E+01             4.406666E-02             1.080599E-01             4.997761E-01             6.052912E+00
                   5.4000             1.825800E+01             4.411059E-02             1.075213E-01             4.997810E-01             4.884251E-02
                   5.5800             1.825783E+01             4.499147E-02             1.088361E-01             4.997856E-01             3.257583E-01
                   5.7600             1.825767E+01             4.631244E-02             1.122548E-01             4.997898E-01             6.001829E-01
                   5.9400             1.825754E+01             4.741508E-02             1.182304E-01             4.997934E-01             8.718665E-01
                   6.1200             1.825744E+01             4.782634E-02             1.271266E-01             4.997961E-01             1.140532E+00
                   6.3000             1.825739E+01             4.740734E-02             1.389357E-01             4.997976E-01             1.405929E+00
                   6.4800             1.825739E+01             4.624679E-02             1.531217E-01             4.997975E-01             1.667808E+00
                   6.6600             1.825747E+01             4.452222E-02             1.686387E-01             4.997954E-01             1.925904E+00
                   6.8400             1.825761E+01             4.242385E-02             1.841047E-01             4.997914E-01             2.179990E+00
                   7.0200             1.825783E+01             4.013486E-02             1.980469E-01             4.997856E-01             2.429809E+00
                   7.2000             1.825809E+01             3.784457E-02             2.091531E-01             4.997783E-01             2.675131E+00
                   7.3800             1.825839E+01             3.581164E-02             2.164597E-01             4.997702E-01             2.915715E+00
                   7.5600             1.825870E+01             3.480216E-02             2.194597E-01             4.997617E-01             3.151330E+00
                   7.7400             1.825900E+01             3.647067E-02             2.181250E-01             4.997534E-01             3.381752E+00
                   7.9200             1.825928E+01             3.896799E-02             2.128579E-01             4.997459E-01             3.606748E+00
                   8.1000             1.825951E+01             4.165477E-02             2.043918E-01             4.997395E-01             3.826102E+00
                   8.2800             1.825970E+01             4.432328E-02             1.936636E-01             4.997344E-01             4.039593E+00
                   8.4600             1.825983E+01             4.684840E-02             1.816772E-01             4.997306E-01             4.247010E+00
                   8.6400             1.825993E+01             4.913570E-02             1.693806E-01             4.997280E-01             4.448142E+00
                   8.8200             1.825998E+01             5.110839E-02             1.575688E-01             4.997266E-01             4.642783E+00
                   9.0000             1.826000E+01             5.270622E-02             1.468262E-01             4.997260E-01             4.830735E+00
                   9.1800             1.826000E+01             5.388912E-02             1.375087E-01             4.997260E-01             5.011802E+00
                   9.3600             1.825998E+01             5.464786E-02             1.297624E-01             4.997264E-01             5.185798E+00
                   9.5400             1.825996E+01             5.501213E-02             1.235664E-01             4.997271E-01             5.352539E+00
                   9.7200             1.825993E+01             5.505625E-02             1.187878E-01             4.997279E-01             5.511850E+00
                   9.9000             1.825990E+01             5.489124E-02             1.152352E-01             4.997287E-01             5.663559E+00
                  10.0800             1.825987E+01             5.464835E-02             1.127028E-01             4.997295E-01             5.807507E+00
                  10.2600             1.825985E+01             5.445127E-02             1.109996E-01             4.997301E-01             5.943535E+00
                  10.4400             1.825983E+01             5.439176E-02             1.099646E-01             4.997307E-01             6.071501E+00
                  10.6200             1.825982E+01             5.451765E-02             1.094694E-01             4.997310E-01             6.191264E+00
                  10.8000             1.825981E+01             5.483378E-02             1.094130E-01             4.997313E-01             1.950994E-02
                  10.9800             1.825981E+01             5.531299E-02             1.097140E-01             4.997314E-01             1.224891E-01
                  11.1600             1.825981E+01             5.591045E-02             1.103023E-01             4.997313E-01             2.169053E-01
                  11.3400             1.825982E+01             5.657807E-02             1.111140E-01             4.997311E-01             3.026604E-01
                  11.5200             1.825983E+01             5.727311E-02             1.120870E-01             4.997307E-01             3.796643E-01
                  11.7000             1.825985E+01             5.796281E-02             1.131595E-01             4.997301E-01             4.478390E-01
                  11.8800             1.825988E+01             5.862509E-02             1.142701E-01             4.997294E-01             5.071178E-01
                  12.0600             1.825991E+01             5.924774E-02             1.153589E-01             4.997285E-01             5.574484E-01
                  12.2400             1.825995E+01             5.982554E-02             1.163695E-01             4.997275E-01             5.987857E-01
                  12.4200             1.825999E+01             6.035779E-02             1.172510E-01             4.997263E-01             6.311017E-01
                  12.6000             1.826004E+01             6.084638E-02             1.179602E-01             4.997250E-01             6.543789E-01
                  12.7800             1.826009E+01             6.129352E-02             1.184631E-01             4.997235E-01             6.686141E-01
                  12.9600             1.826015E+01             6.170083E-02             1.187365E-01             4.997218E-01             6.738173E-01
                  13.1400             1.826022E+01             6.206853E-02             1.187688E-01             4.997200E-01             6.700112E-01
                  13.3200             1.826029E+01             6.239573E-02             1.185608E-01             4.997181E-01             6.572330E-01
                  13.5000             1.826037E+01             6.267914E-02             1.181253E-01             4.997159E-01             6.355318E-01
                  13.6800             1.826045E+01             6.291511E-02             1.174872E-01             4.997137E-01             6.049724E-01
                  13.8600             1.826054E+01             6.310065E-02             1.166827E-01             4.997112E-01             5.656328E-01
                  14.0400             1.826064E+01             6.323374E-02             1.157578E-01             4.997086E-01             5.176030E-01
                  14.2200             1.826074E+01             6.331751E-02             1.147670E-01             4.997057E-01             4.609880E-01
                  14.4000             1.826085E+01             6.336152E-02             1.137718E-01             4.997027E-01             3.959051E-01
                  14.5800             1.826097E+01             6.338547E-02             1.128385E-01             4.996995E-01             3.224858E-01
                  14.7600             1.826109E+01             6.342112E-02             1.120373E-01             4.996961E-01             2.408725E-01
                  14.9400             1.826122E+01             6.351159E-02             1.114425E-01             4.996925E-01             1.512205E-01
