                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   6.3000             3.272697E+02             3.273207E+02             3.274573E+02             3.274792E+02             3.307016E+02             3.300623E+02             3.309485E+02             3.302811E+02             3.321356E+02             3.313233E+02
                   6.4800             3.272687E+02             3.273199E+02             3.274570E+02             3.274789E+02             3.306996E+02             3.300607E+02             3.309480E+02             3.302807E+02             3.321350E+02             3.313228E+02
                   6.6600             3.272676E+02             3.273190E+02             3.274567E+02             3.274786E+02             3.306976E+02             3.300590E+02             3.309475E+02             3.302802E+02             3.321344E+02             3.313223E+02
                   6.8400             3.272666E+02             3.273182E+02             3.274563E+02             3.274782E+02             3.306956E+02             3.300574E+02             3.309470E+02             3.302797E+02             3.321337E+02             3.313217E+02
                   7.0200             3.272656E+02             3.273173E+02             3.274559E+02             3.274778E+02             3.306937E+02             3.300559E+02             3.309464E+02             3.302792E+02             3.321330E+02             3.313210E+02
                   7.2000             3.272646E+02             3.273164E+02             3.274554E+02             3.274773E+02             3.306917E+02             3.300543E+02             3.309458E+02             3.302786E+02             3.321323E+02             3.313203E+02
                   7.3800             3.272636E+02             3.273155E+02             3.274548E+02             3.274768E+02             3.306898E+02             3.300527E+02             3.309451E+02             3.302780E+02             3.321315E+02             3.313196E+02
                   7.5600             3.272625E+02             3.273146E+02             3.274542E+02             3.274762E+02             3.306879E+02             3.300511E+02             3.309444E+02             3.302773E+02             3.321306E+02             3.313188E+02
                   7.7400             3.272615E+02             3.273136E+02             3.274536E+02             3.274755E+02             3.306860E+02             3.300495E+02             3.309436E+02             3.302765E+02             3.321297E+02             3.313179E+02
                   7.9200             3.272603E+02             3.273126E+02             3.274529E+02             3.274748E+02             3.306840E+02             3.300478E+02             3.309427E+02             3.302757E+02             3.321287E+02             3.313170E+02
                   8.1000             3.272591E+02             3.273115E+02             3.274521E+02             3.274741E+02             3.306820E+02             3.300461E+02             3.309418E+02             3.302748E+02             3.321277E+02             3.313160E+02
                   8.2800             3.272579E+02             3.273104E+02             3.274512E+02             3.274732E+02             3.306800E+02             3.300444E+02             3.309408E+02             3.302739E+02             3.321265E+02             3.313149E+02
                   8.4600             3.272566E+02             3.273091E+02             3.274503E+02             3.274723E+02             3.306779E+02             3.300426E+02             3.309397E+02             3.302729E+02             3.321253E+02             3.313138E+02
                   8.6400             3.272552E+02             3.273078E+02             3.274493E+02             3.274713E+02             3.306758E+02             3.300407E+02             3.309386E+02             3.302717E+02             3.321240E+02             3.313126E+02
                   8.8200             3.272537E+02             3.273065E+02             3.274482E+02             3.274702E+02             3.306736E+02             3.300388E+02             3.309373E+02             3.302705E+02             3.321227E+02             3.313113E+02
                   9.0000             3.272522E+02             3.273050E+02             3.274470E+02             3.274690E+02             3.306713E+02             3.300368E+02             3.309360E+02             3.302693E+02             3.321212E+02             3.313099E+02
                   9.1800             3.272505E+02             3.273034E+02             3.274458E+02             3.274678E+02             3.306690E+02             3.300347E+02             3.309346E+02             3.302679E+02             3.321197E+02             3.313084E+02
                   9.3600             3.272488E+02             3.273018E+02             3.274444E+02             3.274664E+02             3.306666E+02             3.300325E+02             3.309331E+02             3.302664E+02             3.321181E+02             3.313068E+02
                   9.5400             3.272469E+02             3.273000E+02             3.274430E+02             3.274650E+02             3.306640E+02             3.300302E+02             3.309315E+02             3.302649E+02             3.321163E+02             3.313052E+02
                   9.7200             3.272450E+02             3.272981E+02             3.274414E+02             3.274635E+02             3.306614E+02             3.300279E+02             3.309298E+02             3.302632E+02             3.321145E+02             3.313034E+02
                   9.9000             3.272429E+02             3.272961E+02             3.274398E+02             3.274618E+02             3.306587E+02             3.300254E+02             3.309280E+02             3.302615E+02             3.321126E+02             3.313015E+02
                  10.0800             3.272407E+02             3.272940E+02             3.274380E+02             3.274601E+02             3.306558E+02             3.300228E+02             3.309261E+02             3.302596E+02             3.321105E+02             3.312995E+02
