                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                            13.1400                       5.213732E-08                       1.007730E+02                       3.039730E+02                       6.023126E-08
                            13.3200                       5.230601E-08                       1.007730E+02                       3.039730E+02                       6.042614E-08
                            13.5000                       5.248293E-08                       1.007730E+02                       3.039730E+02                       6.063053E-08
                            13.6800                       5.266825E-08                       1.007730E+02                       3.039730E+02                       6.084462E-08
                            13.8600                       5.286215E-08                       1.007730E+02                       3.039730E+02                       6.106861E-08
                            14.0400                       5.306479E-08                       1.007730E+02                       3.039730E+02                       6.130272E-08
                            14.2200                       5.327637E-08                       1.007730E+02                       3.039730E+02                       6.154714E-08
                            14.4000                       5.349705E-08                       1.007730E+02                       3.039730E+02                       6.180208E-08
                            14.5800                       5.372700E-08                       1.007730E+02                       3.039730E+02                       6.206774E-08
                            14.7600                       5.396642E-08                       1.007730E+02                       3.039730E+02                       6.234431E-08
                            14.9400                       5.421546E-08                       1.007730E+02                       3.039730E+02                       6.263202E-08
                            15.1200                       5.447431E-08                       1.007730E+02                       3.039730E+02                       6.293105E-08
                            15.3000                       5.474313E-08                       1.007730E+02                       3.039730E+02                       6.324161E-08
                            15.4800                       5.502212E-08                       1.007730E+02                       3.039730E+02                       6.356390E-08
                            15.6600                       5.531143E-08                       1.007730E+02                       3.039730E+02                       6.389813E-08
                            15.8400                       5.561124E-08                       1.007730E+02                       3.039730E+02                       6.424449E-08
                            16.0200                       5.592174E-08                       1.007730E+02                       3.039730E+02                       6.460319E-08
                            16.2000                       5.624309E-08                       1.007730E+02                       3.039730E+02                       6.497442E-08
                            16.3800                       5.657546E-08                       1.007730E+02                       3.039730E+02                       6.535840E-08
                            16.5600                       5.691904E-08                       1.007730E+02                       3.039730E+02                       6.575531E-08
                            16.7400                       5.727398E-08                       1.007730E+02                       3.039730E+02                       6.616536E-08
                            16.9200                       5.764048E-08                       1.007730E+02                       3.039730E+02                       6.658875E-08
                            17.1000                       5.801870E-08                       1.007730E+02                       3.039730E+02                       6.702568E-08
                            17.2800                       5.840881E-08                       1.007730E+02                       3.039730E+02                       6.747636E-08
                            17.4600                       5.881099E-08                       1.007730E+02                       3.039730E+02                       6.794097E-08
                            17.6400                       5.922540E-08                       1.007730E+02                       3.039730E+02                       6.841972E-08
                            17.8200                       5.965223E-08                       1.007730E+02                       3.039730E+02                       6.891281E-08
                            18.0000                       6.009165E-08                       1.007730E+02                       3.039730E+02                       6.942044E-08
                            18.1800                       6.054382E-08                       1.007730E+02                       3.039730E+02                       6.994281E-08
                            18.3600                       6.100891E-08                       1.007730E+02                       3.039730E+02                       7.048011E-08
                            18.5400                       6.148711E-08                       1.007730E+02                       3.039730E+02                       7.103254E-08
                            18.7200                       6.197858E-08                       1.007730E+02                       3.039730E+02                       7.160031E-08
                            18.9000                       6.248349E-08                       1.007730E+02                       3.039730E+02                       7.218361E-08
                            19.0800                       6.300202E-08                       1.007730E+02                       3.039730E+02                       7.278263E-08
                            19.2600                       6.353433E-08                       1.007730E+02                       3.039730E+02                       7.339758E-08
                            19.4400                       6.408059E-08                       1.007730E+02                       3.039730E+02                       7.402865E-08
                            19.6200                       6.464098E-08                       1.007730E+02                       3.039730E+02                       7.467603E-08
                            19.8000                       6.521567E-08                       1.007730E+02                       3.039730E+02                       7.533994E-08
                            19.9800                       6.580482E-08                       1.007730E+02                       3.039730E+02                       7.602055E-08
                            20.1600                       6.640861E-08                       1.007730E+02                       3.039730E+02                       7.671807E-08
                            20.3400                       6.702720E-08                       1.007730E+02                       3.039730E+02                       7.743269E-08
                            20.5200                       6.766077E-08                       1.007730E+02                       3.039730E+02                       7.816462E-08
                            20.7000                       6.830948E-08                       1.007730E+02                       3.039730E+02                       7.891404E-08
                            20.8800                       6.897350E-08                       1.007730E+02                       3.039730E+02                       7.968114E-08
                            21.0600                       6.965300E-08                       1.007730E+02                       3.039730E+02                       8.046613E-08
                            21.2400                       7.034816E-08                       1.007730E+02                       3.039730E+02                       8.126920E-08
                            21.4200                       7.105912E-08                       1.007730E+02                       3.039730E+02                       8.209054E-08
                            21.6000                       7.178608E-08                       1.007730E+02                       3.039730E+02                       8.293035E-08
                            21.7800                       7.252918E-08                       1.007730E+02                       3.039730E+02                       8.378882E-08
                            21.9600                       7.328861E-08                       1.007730E+02                       3.039730E+02                       8.466614E-08
                            22.1400                       7.406452E-08                       1.007730E+02                       3.039730E+02                       8.556250E-08
                            22.3200                       7.485709E-08                       1.007730E+02                       3.039730E+02                       8.647811E-08
                            22.5000                       7.566647E-08                       1.007730E+02                       3.039730E+02                       8.741315E-08
                            22.6800                       7.649284E-08                       1.007730E+02                       3.039730E+02                       8.836781E-08
                            22.8600                       7.733637E-08                       1.007730E+02                       3.039730E+02                       8.934228E-08
                            23.0400                       7.819721E-08                       1.007730E+02                       3.039730E+02                       9.033677E-08
                            23.2200                       7.907554E-08                       1.007730E+02                       3.039730E+02                       9.135145E-08
                            23.4000                       7.997151E-08                       1.007730E+02                       3.039730E+02                       9.238652E-08
                            23.5800                       8.088530E-08                       1.007730E+02                       3.039730E+02                       9.344216E-08
                            23.7600                       8.181707E-08                       1.007730E+02                       3.039730E+02                       9.451858E-08
                            23.9400                       8.276698E-08                       1.007730E+02                       3.039730E+02                       9.561596E-08
                            24.1200                       8.373520E-08                       1.007730E+02                       3.039730E+02                       9.673449E-08
                            24.3000                       8.472189E-08                       1.007730E+02                       3.039730E+02                       9.787436E-08
                            24.4800                       8.572722E-08                       1.007730E+02                       3.039730E+02                       9.903575E-08
                            24.6600                       8.675134E-08                       1.007730E+02                       3.039730E+02                       1.002189E-07
                            24.8400                       8.779442E-08                       1.007730E+02                       3.039730E+02                       1.014239E-07
                            25.0200                       8.885663E-08                       1.007730E+02                       3.039730E+02                       1.026510E-07
                            25.2000                       8.993812E-08                       1.007730E+02                       3.039730E+02                       1.039004E-07
                            25.3800                       9.103906E-08                       1.007730E+02                       3.039730E+02                       1.051722E-07
                            25.5600                       9.215962E-08                       1.007730E+02                       3.039730E+02                       1.064667E-07
                            25.7400                       9.329994E-08                       1.007730E+02                       3.039730E+02                       1.077841E-07
                            25.9200                       9.446020E-08                       1.007730E+02                       3.039730E+02                       1.091245E-07
                            26.1000                       9.564055E-08                       1.007730E+02                       3.039730E+02                       1.104881E-07
                            26.2800                       9.684115E-08                       1.007730E+02                       3.039730E+02                       1.118750E-07
                            26.4600                       9.806217E-08                       1.007730E+02                       3.039730E+02                       1.132856E-07
                            26.6400                       9.930377E-08                       1.007730E+02                       3.039730E+02                       1.147200E-07
                            26.8200                       1.005661E-07                       1.007730E+02                       3.039730E+02                       1.161783E-07
