                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             8.277583E-02             7.481315E-04             2.250364E-06             4.282101E-05             7.932029E-04             5.082677E-01             8.659721E-02             5.090609E-01
                   0.1800             8.427878E-02            -2.293010E-03            -6.897320E-06             2.784506E-04            -2.021457E-03             5.092122E-01             8.650793E-02             5.071908E-01
                   0.3600             8.449583E-02            -4.529599E-03            -1.362489E-05             6.092674E-04            -3.933957E-03             5.090955E-01             8.647154E-02             5.051616E-01
                   0.5400             8.473346E-02            -6.766298E-03            -2.035270E-05             9.395339E-04            -5.847116E-03             5.090020E-01             8.643552E-02             5.031549E-01
                   0.7200             8.499162E-02            -9.002871E-03            -2.708002E-05             1.269213E-03            -7.760738E-03             5.089331E-01             8.640147E-02             5.011723E-01
                   0.9000             8.527000E-02            -1.123872E-02            -3.380500E-05             1.598293E-03            -9.674229E-03             5.088896E-01             8.637045E-02             4.992153E-01
                   1.0800             8.556819E-02            -1.347370E-02            -4.052716E-05             1.926774E-03            -1.158745E-02             5.088724E-01             8.634375E-02             4.972849E-01
                   1.2600             8.588578E-02            -1.570812E-02            -4.724743E-05             2.254665E-03            -1.350070E-02             5.088820E-01             8.632242E-02             4.953813E-01
                   1.4400             8.622220E-02            -1.794157E-02            -5.396448E-05             2.581979E-03            -1.541355E-02             5.090874E-01             8.630726E-02             4.936738E-01
                   1.6200             8.657690E-02            -2.017398E-02            -6.067809E-05             2.908735E-03            -1.732592E-02             5.097966E-01             8.629881E-02             4.924707E-01
                   1.8000             8.694926E-02            -2.240510E-02            -6.738749E-05             3.234952E-03            -1.923754E-02             5.105313E-01             8.629733E-02             4.912938E-01
                   1.9800             8.733873E-02            -2.463506E-02            -7.409297E-05             3.560653E-03            -2.114850E-02             5.112908E-01             8.630276E-02             4.901423E-01
                   2.1600             8.774466E-02            -2.686351E-02            -8.079352E-05             3.885861E-03            -2.305845E-02             5.120740E-01             8.631480E-02             4.890155E-01
                   2.3400             8.816646E-02            -2.909047E-02            -8.748906E-05             4.210602E-03            -2.496735E-02             5.128795E-01             8.633285E-02             4.879122E-01
                   2.5200             8.860352E-02            -3.131572E-02            -9.417899E-05             4.534902E-03            -2.687499E-02             5.137060E-01             8.635617E-02             4.868310E-01
                   2.7000             8.905522E-02            -3.353913E-02            -1.008628E-04             4.858791E-03            -2.878121E-02             5.145517E-01             8.638387E-02             4.857705E-01
                   2.8800             8.952098E-02            -3.576064E-02            -1.075403E-04             5.182299E-03            -3.068588E-02             5.154151E-01             8.641493E-02             4.847292E-01
                   3.0600             9.000019E-02            -3.798002E-02            -1.142109E-04             5.505457E-03            -3.258878E-02             5.162942E-01             8.644838E-02             4.837055E-01
                   3.2400             9.049228E-02            -4.019722E-02            -1.208741E-04             5.828297E-03            -3.448979E-02             5.171875E-01             8.648318E-02             4.826978E-01
