                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -1.056435E+00            -4.859041E+01             3.810374E+00             5.189250E+00             1.378876E+00             1.995129E+01             1.999888E+01
                   0.1800            -9.800037E-01            -4.705420E+01             3.562336E+00             5.802028E+00             2.246273E+00             1.923459E+01             1.936531E+01
                   0.3600            -1.532144E+00            -4.709080E+01             3.056021E+00             5.791402E+00             2.748662E+00             1.926536E+01             1.946045E+01
                   0.5400            -2.084651E+00            -4.713132E+01             2.549837E+00             5.781045E+00             3.251305E+00             1.929854E+01             1.957051E+01
                   0.7200            -2.636939E+00            -4.717466E+01             2.044111E+00             5.771377E+00             3.754291E+00             1.933355E+01             1.969469E+01
                   0.9000            -3.188586E+00            -4.722017E+01             1.539119E+00             5.762627E+00             4.257570E+00             1.937000E+01             1.983239E+01
                   1.0800            -3.739394E+00            -4.726747E+01             1.034969E+00             5.754934E+00             4.761168E+00             1.940759E+01             1.998308E+01
                   1.2600            -4.289350E+00            -4.731633E+01             5.316258E-01             5.748374E+00             5.265196E+00             1.944615E+01             2.014634E+01
                   1.4400            -4.838328E+00            -4.736663E+01             2.918560E-02             5.742979E+00             5.769587E+00             1.948552E+01             2.032175E+01
                   1.6200            -5.386308E+00            -4.741832E+01            -4.723439E-01             5.738768E+00             6.274349E+00             1.952556E+01             2.050890E+01
                   1.8000            -5.933243E+00            -4.747134E+01            -9.729265E-01             5.735745E+00             6.779449E+00             1.956616E+01             2.070738E+01
                   1.9800            -6.479175E+00            -4.752568E+01            -1.472607E+00             5.733908E+00             7.284930E+00             1.960723E+01             2.091683E+01
                   2.1600            -7.024057E+00            -4.758133E+01            -1.971338E+00             5.733250E+00             7.790737E+00             1.964867E+01             2.113683E+01
                   2.3400            -7.567911E+00            -4.763828E+01            -2.469143E+00             5.733763E+00             8.296885E+00             1.969038E+01             2.136701E+01
                   2.5200            -8.110723E+00            -4.769654E+01            -2.966004E+00             5.735436E+00             8.803348E+00             1.973228E+01             2.160698E+01
                   2.7000            -8.652491E+00            -4.775611E+01            -3.461921E+00             5.738259E+00             9.310115E+00             1.977428E+01             2.185636E+01
                   2.8800            -9.193229E+00            -4.781699E+01            -3.956902E+00             5.742220E+00             9.817185E+00             1.981631E+01             2.211477E+01
                   3.0600            -9.732923E+00            -4.787918E+01            -4.450932E+00             5.747306E+00             1.032453E+01             1.985827E+01             2.238184E+01
                   3.2400            -1.027159E+01            -4.794269E+01            -4.944022E+00             5.753504E+00             1.083215E+01             1.990009E+01             2.265721E+01
                   3.4200            -1.080923E+01            -4.800751E+01            -5.436176E+00             5.760798E+00             1.134005E+01             1.994169E+01             2.294053E+01
                   3.6000            -1.134585E+01            -4.807365E+01            -5.927393E+00             5.769169E+00             1.184819E+01             1.998299E+01             2.323144E+01
                   3.7800            -1.188145E+01            -4.814108E+01            -6.417679E+00             5.778593E+00             1.235657E+01             2.002393E+01             2.352961E+01
                   3.9600            -1.241608E+01            -4.820978E+01            -6.907061E+00             5.789031E+00             1.286518E+01             2.006442E+01             2.383471E+01
                   4.1400            -1.294978E+01            -4.827966E+01            -7.395577E+00             5.800400E+00             1.337397E+01             2.010441E+01             2.414644E+01
                   4.3200            -1.348276E+01            -4.835037E+01            -7.883418E+00             5.812428E+00             1.388287E+01             2.014388E+01             2.446447E+01
                   4.5000            -1.401541E+01            -4.842124E+01            -8.370939E+00             5.824588E+00             1.439170E+01             2.018290E+01             2.478851E+01
                   4.6800            -1.454786E+01            -4.849207E+01            -8.858250E+00             5.836716E+00             1.490038E+01             2.022149E+01             2.511832E+01
                   4.8600            -1.508010E+01            -4.856287E+01            -9.345349E+00             5.848799E+00             1.540892E+01             2.025967E+01             2.545367E+01
                   5.0400            -1.561214E+01            -4.863364E+01            -9.832234E+00             5.860831E+00             1.591730E+01             2.029745E+01             2.579432E+01
                   5.2200            -1.614397E+01            -4.870441E+01            -1.031890E+01             5.872804E+00             1.642551E+01             2.033483E+01             2.614005E+01
                   5.4000            -1.667558E+01            -4.877519E+01            -1.080534E+01             5.884710E+00             1.693353E+01             2.037183E+01             2.649067E+01
                   5.5800            -1.720698E+01            -4.884597E+01            -1.129156E+01             5.896540E+00             1.744135E+01             2.040846E+01             2.684597E+01
                   5.7600            -1.773815E+01            -4.891679E+01            -1.177755E+01             5.908289E+00             1.794897E+01             2.044473E+01             2.720574E+01
                   5.9400            -1.826909E+01            -4.898764E+01            -1.226330E+01             5.919946E+00             1.845637E+01             2.048065E+01             2.756982E+01
                   6.1200            -1.879980E+01            -4.905855E+01            -1.274882E+01             5.931506E+00             1.896354E+01             2.051625E+01             2.793801E+01
                   6.3000            -1.933028E+01            -4.912952E+01            -1.323410E+01             5.942960E+00             1.947047E+01             2.055153E+01             2.831015E+01
                   6.4800            -1.986052E+01            -4.920056E+01            -1.371913E+01             5.954299E+00             1.997714E+01             2.058651E+01             2.868607E+01
                   6.6600            -2.039053E+01            -4.927169E+01            -1.420393E+01             5.965517E+00             2.048355E+01             2.062121E+01             2.906562E+01
                   6.8400            -2.092029E+01            -4.934293E+01            -1.468846E+01             5.976606E+00             2.098968E+01             2.065564E+01             2.944864E+01
                   7.0200            -2.144980E+01            -4.941427E+01            -1.517275E+01             5.987556E+00             2.149552E+01             2.068983E+01             2.983498E+01
                   7.2000            -2.197907E+01            -4.948574E+01            -1.565678E+01             5.998361E+00             2.200105E+01             2.072378E+01             3.022452E+01
                   7.3800            -2.250808E+01            -4.955734E+01            -1.614055E+01             6.009013E+00             2.250627E+01             2.075753E+01             3.061711E+01
                   7.5600            -2.303683E+01            -4.962910E+01            -1.662406E+01             6.019504E+00             2.301116E+01             2.079108E+01             3.101262E+01
                   7.7400            -2.356533E+01            -4.970101E+01            -1.710731E+01             6.029825E+00             2.351571E+01             2.082447E+01             3.141094E+01
                   7.9200            -2.409357E+01            -4.977310E+01            -1.759028E+01             6.039969E+00             2.401992E+01             2.085771E+01             3.181195E+01
                   8.1000            -2.462154E+01            -4.984537E+01            -1.807298E+01             6.049928E+00             2.452375E+01             2.089083E+01             3.221554E+01
                   8.2800            -2.514924E+01            -4.991783E+01            -1.855541E+01             6.059694E+00             2.502721E+01             2.092384E+01             3.262159E+01
                   8.4600            -2.567668E+01            -4.999051E+01            -1.903756E+01             6.069260E+00             2.553027E+01             2.095677E+01             3.303000E+01
                   8.6400            -2.620384E+01            -5.006340E+01            -1.951942E+01             6.078617E+00             2.603293E+01             2.098965E+01             3.344068E+01
                   8.8200            -2.673072E+01            -5.013653E+01            -2.000100E+01             6.087759E+00             2.653517E+01             2.102249E+01             3.385352E+01
                   9.0000            -2.725732E+01            -5.020989E+01            -2.048229E+01             6.096676E+00             2.703699E+01             2.105533E+01             3.426844E+01
                   9.1800            -2.778364E+01            -5.028351E+01            -2.096329E+01             6.105363E+00             2.753836E+01             2.108819E+01             3.468534E+01
                   9.3600            -2.830968E+01            -5.035739E+01            -2.144400E+01             6.113812E+00             2.803927E+01             2.112108E+01             3.510415E+01
                   9.5400            -2.883542E+01            -5.043154E+01            -2.192440E+01             6.122014E+00             2.853972E+01             2.115405E+01             3.552477E+01
                   9.7200            -2.936087E+01            -5.050598E+01            -2.240451E+01             6.129964E+00             2.903968E+01             2.118711E+01             3.594713E+01
                   9.9000            -2.988603E+01            -5.058071E+01            -2.288431E+01             6.137653E+00             2.953914E+01             2.122028E+01             3.637116E+01
                  10.0800            -3.041088E+01            -5.065574E+01            -2.336379E+01             6.145076E+00             3.003809E+01             2.125360E+01             3.679678E+01
                  10.2600            -3.093543E+01            -5.073108E+01            -2.384297E+01             6.152225E+00             3.053652E+01             2.128710E+01             3.722391E+01
                  10.4400            -3.145967E+01            -5.080673E+01            -2.432183E+01             6.159094E+00             3.103441E+01             2.132078E+01             3.765250E+01
                  10.6200            -3.198359E+01            -5.088272E+01            -2.480037E+01             6.165676E+00             3.153175E+01             2.135469E+01             3.808247E+01
                  10.8000            -3.250720E+01            -5.095903E+01            -2.527858E+01             6.171966E+00             3.202853E+01             2.138884E+01             3.851375E+01
                  10.9800            -3.303048E+01            -5.103569E+01            -2.575646E+01             6.177956E+00             3.252472E+01             2.142326E+01             3.894629E+01
