                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   4.8600             3.284392E-05             1.009034E+02             3.145566E+02             3.506760E+05             1.117726E+00             4.409523E+05             3.935610E+03             1.923167E-05             1.006981E+03             2.745708E-02             3.671060E-05             0.000000E+00             0.000000E+00
                   5.0400             3.284366E-05             1.008645E+02             3.145370E+02             3.506621E+05             1.117364E+00             4.409326E+05             3.935659E+03             1.923074E-05             1.006980E+03             2.745564E-02             3.669842E-05             0.000000E+00             0.000000E+00
                   5.2200             3.284340E-05             1.008316E+02             3.145214E+02             3.506510E+05             1.117055E+00             4.409169E+05             3.935702E+03             1.923000E-05             1.006979E+03             2.745448E-02             3.668797E-05             0.000000E+00             0.000000E+00
                   5.4000             3.284312E-05             1.008047E+02             3.145097E+02             3.506428E+05             1.116799E+00             4.409052E+05             3.935742E+03             1.922944E-05             1.006978E+03             2.745362E-02             3.667923E-05             0.000000E+00             0.000000E+00
                   5.5800             3.284283E-05             1.007837E+02             3.145018E+02             3.506373E+05             1.116594E+00             4.408974E+05             3.935777E+03             1.922907E-05             1.006977E+03             2.745304E-02             3.667214E-05             0.000000E+00             0.000000E+00
                   5.7600             3.284253E-05             1.007682E+02             3.144976E+02             3.506344E+05             1.116437E+00             4.408932E+05             3.935807E+03             1.922887E-05             1.006977E+03             2.745273E-02             3.666665E-05             0.000000E+00             0.000000E+00
                   5.9400             3.284222E-05             1.007579E+02             3.144968E+02             3.506339E+05             1.116326E+00             4.408924E+05             3.935834E+03             1.922883E-05             1.006977E+03             2.745267E-02             3.666265E-05             0.000000E+00             0.000000E+00
                   6.1200             3.284190E-05             1.007522E+02             3.144991E+02             3.506356E+05             1.116255E+00             4.408947E+05             3.935858E+03             1.922893E-05             1.006977E+03             2.745283E-02             3.665994E-05             0.000000E+00             0.000000E+00
                   6.3000             3.284156E-05             1.007498E+02             3.145035E+02             3.506389E+05             1.116213E+00             4.408991E+05             3.935878E+03             1.922914E-05             1.006977E+03             2.745315E-02             3.665819E-05             0.000000E+00             0.000000E+00
                   6.4800             3.284122E-05             1.007492E+02             3.145091E+02             3.506429E+05             1.116186E+00             4.409048E+05             3.935898E+03             1.922941E-05             1.006977E+03             2.745356E-02             3.665692E-05             0.000000E+00             0.000000E+00
                   6.6600             3.284087E-05             1.007491E+02             3.145150E+02             3.506472E+05             1.116164E+00             4.409107E+05             3.935917E+03             1.922969E-05             1.006977E+03             2.745400E-02             3.665580E-05             0.000000E+00             0.000000E+00
                   6.8400             3.284050E-05             1.007491E+02             3.145210E+02             3.506515E+05             1.116143E+00             4.409168E+05             3.935937E+03             1.922997E-05             1.006978E+03             2.745443E-02             3.665469E-05             0.000000E+00             0.000000E+00
                   7.0200             3.284012E-05             1.007492E+02             3.145270E+02             3.506558E+05             1.116122E+00             4.409228E+05             3.935956E+03             1.923025E-05             1.006978E+03             2.745487E-02             3.665358E-05             0.000000E+00             0.000000E+00
                   7.2000             3.283973E-05             1.007492E+02             3.145330E+02             3.506601E+05             1.116101E+00             4.409289E+05             3.935975E+03             1.923054E-05             1.006978E+03             2.745531E-02             3.665245E-05             0.000000E+00             0.000000E+00
                   7.3800             3.283933E-05             1.007492E+02             3.145390E+02             3.506644E+05             1.116080E+00             4.409349E+05             3.935994E+03             1.923082E-05             1.006978E+03             2.745575E-02             3.665131E-05             0.000000E+00             0.000000E+00
                   7.5600             3.283891E-05             1.007492E+02             3.145450E+02             3.506687E+05             1.116059E+00             4.409409E+05             3.936013E+03             1.923110E-05             1.006979E+03             2.745619E-02             3.665016E-05             0.000000E+00             0.000000E+00
                   7.7400             3.283849E-05             1.007493E+02             3.145510E+02             3.506731E+05             1.116038E+00             4.409470E+05             3.936032E+03             1.923139E-05             1.006979E+03             2.745663E-02             3.664899E-05             0.000000E+00             0.000000E+00
                   7.9200             3.283805E-05             1.007493E+02             3.145570E+02             3.506774E+05             1.116017E+00             4.409530E+05             3.936051E+03             1.923167E-05             1.006979E+03             2.745707E-02             3.664781E-05             0.000000E+00             0.000000E+00
                   8.1000             3.283759E-05             1.007493E+02             3.145630E+02             3.506817E+05             1.115996E+00             4.409590E+05             3.936070E+03             1.923195E-05             1.006980E+03             2.745750E-02             3.664662E-05             0.000000E+00             0.000000E+00
                   8.2800             3.283713E-05             1.007494E+02             3.145690E+02             3.506860E+05             1.115975E+00             4.409651E+05             3.936089E+03             1.923223E-05             1.006980E+03             2.745794E-02             3.664541E-05             0.000000E+00             0.000000E+00
                   8.4600             3.283665E-05             1.007494E+02             3.145750E+02             3.506903E+05             1.115954E+00             4.409711E+05             3.936109E+03             1.923252E-05             1.006980E+03             2.745838E-02             3.664419E-05             0.000000E+00             0.000000E+00
                   8.6400             3.283616E-05             1.007494E+02             3.145809E+02             3.506946E+05             1.115933E+00             4.409771E+05             3.936128E+03             1.923280E-05             1.006980E+03             2.745882E-02             3.664295E-05             0.000000E+00             0.000000E+00
