                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                             9.0000                       5.011945E-08                       3.283513E-05                       1.007480E+02                       3.039992E+02                       1.000711E+02                       3.034139E+02
                             9.1800                       5.014796E-08                       3.283460E-05                       1.007480E+02                       3.039992E+02                       1.000733E+02                       3.034159E+02
                             9.3600                       5.018061E-08                       3.283405E-05                       1.007480E+02                       3.039992E+02                       1.000757E+02                       3.034179E+02
                             9.5400                       5.021757E-08                       3.283349E-05                       1.007480E+02                       3.039992E+02                       1.000781E+02                       3.034200E+02
                             9.7200                       5.025903E-08                       3.283292E-05                       1.007480E+02                       3.039992E+02                       1.000805E+02                       3.034221E+02
                             9.9000                       5.030516E-08                       3.283233E-05                       1.007480E+02                       3.039992E+02                       1.000831E+02                       3.034243E+02
                            10.0800                       5.035613E-08                       3.283172E-05                       1.007480E+02                       3.039992E+02                       1.000856E+02                       3.034265E+02
                            10.2600                       5.041214E-08                       3.283110E-05                       1.007480E+02                       3.039992E+02                       1.000883E+02                       3.034288E+02
                            10.4400                       5.047335E-08                       3.283047E-05                       1.007480E+02                       3.039992E+02                       1.000910E+02                       3.034312E+02
                            10.6200                       5.053994E-08                       3.282982E-05                       1.007480E+02                       3.039992E+02                       1.000938E+02                       3.034336E+02
                            10.8000                       5.061210E-08                       3.282915E-05                       1.007480E+02                       3.039992E+02                       1.000966E+02                       3.034360E+02
                            10.9800                       5.069000E-08                       3.282847E-05                       1.007480E+02                       3.039992E+02                       1.000995E+02                       3.034386E+02
                            11.1600                       5.077382E-08                       3.282778E-05                       1.007480E+02                       3.039992E+02                       1.001025E+02                       3.034411E+02
                            11.3400                       5.086374E-08                       3.282706E-05                       1.007480E+02                       3.039992E+02                       1.001055E+02                       3.034438E+02
                            11.5200                       5.095993E-08                       3.282634E-05                       1.007480E+02                       3.039992E+02                       1.001087E+02                       3.034465E+02
                            11.7000                       5.106258E-08                       3.282559E-05                       1.007480E+02                       3.039992E+02                       1.001118E+02                       3.034492E+02
                            11.8800                       5.117185E-08                       3.282483E-05                       1.007480E+02                       3.039992E+02                       1.001151E+02                       3.034520E+02
                            12.0600                       5.128793E-08                       3.282405E-05                       1.007480E+02                       3.039992E+02                       1.001184E+02                       3.034549E+02
                            12.2400                       5.141100E-08                       3.282326E-05                       1.007480E+02                       3.039992E+02                       1.001218E+02                       3.034579E+02
                            12.4200                       5.154123E-08                       3.282245E-05                       1.007480E+02                       3.039992E+02                       1.001253E+02                       3.034609E+02
                            12.6000                       5.167880E-08                       3.282162E-05                       1.007480E+02                       3.039992E+02                       1.001288E+02                       3.034639E+02
                            12.7800                       5.182389E-08                       3.282077E-05                       1.007480E+02                       3.039992E+02                       1.001324E+02                       3.034671E+02
                            12.9600                       5.197667E-08                       3.281991E-05                       1.007480E+02                       3.039992E+02                       1.001361E+02                       3.034703E+02
                            13.1400                       5.213732E-08                       3.281903E-05                       1.007480E+02                       3.039992E+02                       1.001399E+02                       3.034735E+02
                            13.3200                       5.230601E-08                       3.281813E-05                       1.007480E+02                       3.039992E+02                       1.001437E+02                       3.034768E+02
                            13.5000                       5.248293E-08                       3.281722E-05                       1.007480E+02                       3.039992E+02                       1.001476E+02                       3.034802E+02
                            13.6800                       5.266825E-08                       3.281628E-05                       1.007480E+02                       3.039992E+02                       1.001516E+02                       3.034837E+02
                            13.8600                       5.286215E-08                       3.281533E-05                       1.007480E+02                       3.039992E+02                       1.001557E+02                       3.034872E+02
                            14.0400                       5.306479E-08                       3.281436E-05                       1.007480E+02                       3.039992E+02                       1.001598E+02                       3.034908E+02
                            14.2200                       5.327637E-08                       3.281337E-05                       1.007480E+02                       3.039992E+02                       1.001641E+02                       3.034945E+02
                            14.4000                       5.349705E-08                       3.281236E-05                       1.007480E+02                       3.039992E+02                       1.001684E+02                       3.034982E+02
                            14.5800                       5.372700E-08                       3.281134E-05                       1.007480E+02                       3.039992E+02                       1.001728E+02                       3.035020E+02
                            14.7600                       5.396642E-08                       3.281029E-05                       1.007480E+02                       3.039992E+02                       1.001773E+02                       3.035059E+02
                            14.9400                       5.421546E-08                       3.280922E-05                       1.007480E+02                       3.039992E+02                       1.001818E+02                       3.035098E+02
                            15.1200                       5.447431E-08                       3.280814E-05                       1.007480E+02                       3.039992E+02                       1.001865E+02                       3.035139E+02
                            15.3000                       5.474313E-08                       3.280704E-05                       1.007480E+02                       3.039992E+02                       1.001912E+02                       3.035180E+02
                            15.4800                       5.502212E-08                       3.280591E-05                       1.007480E+02                       3.039992E+02                       1.001960E+02                       3.035221E+02
                            15.6600                       5.531143E-08                       3.280477E-05                       1.007480E+02                       3.039992E+02                       1.002009E+02                       3.035264E+02
                            15.8400                       5.561124E-08                       3.280360E-05                       1.007480E+02                       3.039992E+02                       1.002059E+02                       3.035307E+02
                            16.0200                       5.592174E-08                       3.280242E-05                       1.007480E+02                       3.039992E+02                       1.002109E+02                       3.035351E+02
                            16.2000                       5.624309E-08                       3.280122E-05                       1.007480E+02                       3.039992E+02                       1.002161E+02                       3.035395E+02
                            16.3800                       5.657546E-08                       3.279999E-05                       1.007480E+02                       3.039992E+02                       1.002213E+02                       3.035441E+02
                            16.5600                       5.691904E-08                       3.279874E-05                       1.007480E+02                       3.039992E+02                       1.002267E+02                       3.035487E+02
                            16.7400                       5.727398E-08                       3.279748E-05                       1.007480E+02                       3.039992E+02                       1.002321E+02                       3.035534E+02
                            16.9200                       5.764048E-08                       3.279619E-05                       1.007480E+02                       3.039992E+02                       1.002376E+02                       3.035582E+02
                            17.1000                       5.801870E-08                       3.279488E-05                       1.007480E+02                       3.039992E+02                       1.002432E+02                       3.035630E+02
                            17.2800                       5.840881E-08                       3.279355E-05                       1.007480E+02                       3.039992E+02                       1.002489E+02                       3.035679E+02
                            17.4600                       5.881099E-08                       3.279220E-05                       1.007480E+02                       3.039992E+02                       1.002547E+02                       3.035729E+02
                            17.6400                       5.922540E-08                       3.279083E-05                       1.007480E+02                       3.039992E+02                       1.002606E+02                       3.035780E+02
                            17.8200                       5.965223E-08                       3.278943E-05                       1.007480E+02                       3.039992E+02                       1.002666E+02                       3.035832E+02
                            18.0000                       6.009165E-08                       3.278801E-05                       1.007480E+02                       3.039992E+02                       1.002726E+02                       3.035885E+02
                            18.1800                       6.054382E-08                       3.278658E-05                       1.007480E+02                       3.039992E+02                       1.002788E+02                       3.035938E+02
                            18.3600                       6.100891E-08                       3.278511E-05                       1.007480E+02                       3.039992E+02                       1.002851E+02                       3.035992E+02
                            18.5400                       6.148711E-08                       3.278363E-05                       1.007480E+02                       3.039992E+02                       1.002914E+02                       3.036047E+02
                            18.7200                       6.197858E-08                       3.278212E-05                       1.007480E+02                       3.039992E+02                       1.002979E+02                       3.036103E+02
                            18.9000                       6.248349E-08                       3.278059E-05                       1.007480E+02                       3.039992E+02                       1.003044E+02                       3.036160E+02
                            19.0800                       6.300202E-08                       3.277904E-05                       1.007480E+02                       3.039992E+02                       1.003111E+02                       3.036217E+02
                            19.2600                       6.353433E-08                       3.277747E-05                       1.007480E+02                       3.039992E+02                       1.003178E+02                       3.036276E+02
                            19.4400                       6.408059E-08                       3.277587E-05                       1.007480E+02                       3.039992E+02                       1.003247E+02                       3.036335E+02
                            19.6200                       6.464098E-08                       3.277425E-05                       1.007480E+02                       3.039992E+02                       1.003317E+02                       3.036395E+02
                            19.8000                       6.521567E-08                       3.277260E-05                       1.007480E+02                       3.039992E+02                       1.003387E+02                       3.036456E+02
                            19.9800                       6.580482E-08                       3.277093E-05                       1.007480E+02                       3.039992E+02                       1.003459E+02                       3.036518E+02
                            20.1600                       6.640861E-08                       3.276924E-05                       1.007480E+02                       3.039992E+02                       1.003531E+02                       3.036581E+02
                            20.3400                       6.702720E-08                       3.276752E-05                       1.007480E+02                       3.039992E+02                       1.003605E+02                       3.036645E+02
                            20.5200                       6.766077E-08                       3.276578E-05                       1.007480E+02                       3.039992E+02                       1.003680E+02                       3.036710E+02
                            20.7000                       6.830948E-08                       3.276401E-05                       1.007480E+02                       3.039992E+02                       1.003756E+02                       3.036775E+02
                            20.8800                       6.897350E-08                       3.276222E-05                       1.007480E+02                       3.039992E+02                       1.003832E+02                       3.036842E+02
                            21.0600                       6.965300E-08                       3.276041E-05                       1.007480E+02                       3.039992E+02                       1.003910E+02                       3.036909E+02
                            21.2400                       7.034816E-08                       3.275857E-05                       1.007480E+02                       3.039992E+02                       1.003989E+02                       3.036977E+02
                            21.4200                       7.105912E-08                       3.275670E-05                       1.007480E+02                       3.039992E+02                       1.004069E+02                       3.037046E+02
                            21.6000                       7.178608E-08                       3.275482E-05                       1.007480E+02                       3.039992E+02                       1.004151E+02                       3.037117E+02
                            21.7800                       7.252918E-08                       3.275290E-05                       1.007480E+02                       3.039992E+02                       1.004233E+02                       3.037188E+02
                            21.9600                       7.328861E-08                       3.275096E-05                       1.007480E+02                       3.039992E+02                       1.004316E+02                       3.037260E+02
                            22.1400                       7.406452E-08                       3.274899E-05                       1.007480E+02                       3.039992E+02                       1.004401E+02                       3.037333E+02
                            22.3200                       7.485709E-08                       3.274700E-05                       1.007480E+02                       3.039992E+02                       1.004486E+02                       3.037407E+02
                            22.5000                       7.566647E-08                       3.274498E-05                       1.007480E+02                       3.039992E+02                       1.004573E+02                       3.037482E+02
                            22.6800                       7.649284E-08                       3.274294E-05                       1.007480E+02                       3.039992E+02                       1.004661E+02                       3.037558E+02
                            22.8600                       7.733637E-08                       3.274087E-05                       1.007480E+02                       3.039992E+02                       1.004750E+02                       3.037635E+02
                            23.0400                       7.819721E-08                       3.273878E-05                       1.007480E+02                       3.039992E+02                       1.004840E+02                       3.037712E+02
                            23.2200                       7.907554E-08                       3.273665E-05                       1.007480E+02                       3.039992E+02                       1.004931E+02                       3.037791E+02
                            23.4000                       7.997151E-08                       3.273450E-05                       1.007480E+02                       3.039992E+02                       1.005024E+02                       3.037871E+02
                            23.5800                       8.088530E-08                       3.273233E-05                       1.007480E+02                       3.039992E+02                       1.005117E+02                       3.037952E+02
                            23.7600                       8.181707E-08                       3.273013E-05                       1.007480E+02                       3.039992E+02                       1.005212E+02                       3.038034E+02
                            23.9400                       8.276698E-08                       3.272790E-05                       1.007480E+02                       3.039992E+02                       1.005308E+02                       3.038117E+02
                            24.1200                       8.373520E-08                       3.272564E-05                       1.007480E+02                       3.039992E+02                       1.005405E+02                       3.038201E+02
                            24.3000                       8.472189E-08                       3.272336E-05                       1.007480E+02                       3.039992E+02                       1.005504E+02                       3.038286E+02
                            24.4800                       8.572722E-08                       3.272104E-05                       1.007480E+02                       3.039992E+02                       1.005603E+02                       3.038372E+02
                            24.6600                       8.675134E-08                       3.271870E-05                       1.007480E+02                       3.039992E+02                       1.005704E+02                       3.038459E+02
                            24.8400                       8.779442E-08                       3.271634E-05                       1.007480E+02                       3.039992E+02                       1.005806E+02                       3.038547E+02
                            25.0200                       8.885663E-08                       3.271394E-05                       1.007480E+02                       3.039992E+02                       1.005909E+02                       3.038636E+02
                            25.2000                       8.993812E-08                       3.271152E-05                       1.007480E+02                       3.039992E+02                       1.006013E+02                       3.038726E+02
                            25.3800                       9.103906E-08                       3.270907E-05                       1.007480E+02                       3.039992E+02                       1.006119E+02                       3.038817E+02
                            25.5600                       9.215962E-08                       3.270659E-05                       1.007480E+02                       3.039992E+02                       1.006226E+02                       3.038909E+02
                            25.7400                       9.329994E-08                       3.270408E-05                       1.007480E+02                       3.039992E+02                       1.006334E+02                       3.039003E+02
                            25.9200                       9.446020E-08                       3.270154E-05                       1.007480E+02                       3.039992E+02                       1.006443E+02                       3.039097E+02
                            26.1000                       9.564055E-08                       3.269898E-05                       1.007480E+02                       3.039992E+02                       1.006554E+02                       3.039193E+02
                            26.2800                       9.684115E-08                       3.269638E-05                       1.007480E+02                       3.039992E+02                       1.006666E+02                       3.039289E+02
                            26.4600                       9.806217E-08                       3.269376E-05                       1.007480E+02                       3.039992E+02                       1.006779E+02                       3.039387E+02
