                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -8.338447E-01            -4.895150E+01             4.004547E+00             5.465746E+00             1.461199E+00             2.006482E+01             2.011796E+01
                   0.1800            -2.366085E+00            -5.055399E+01             2.890531E+00             4.845377E+00             1.961928E+00             2.090541E+01             2.099727E+01
                   0.3600            -2.929913E+00            -5.058255E+01             2.376700E+00             4.824208E+00             2.461683E+00             2.097282E+01             2.111680E+01
                   0.5400            -3.492361E+00            -5.061147E+01             1.863906E+00             4.804600E+00             2.961964E+00             2.104135E+01             2.124880E+01
                   0.7200            -4.053700E+00            -5.064132E+01             1.352013E+00             4.786313E+00             3.462664E+00             2.111117E+01             2.139326E+01
                   0.9000            -4.613996E+00            -5.067242E+01             8.410338E-01             4.769203E+00             3.963619E+00             2.118236E+01             2.155000E+01
                   1.0800            -5.173345E+00            -5.070496E+01             3.309178E-01             4.753180E+00             4.464786E+00             2.125492E+01             2.171879E+01
                   1.2600            -5.731903E+00            -5.073904E+01            -1.784609E-01             4.738194E+00             4.966236E+00             2.132885E+01             2.189940E+01
                   1.4400            -6.289632E+00            -5.077472E+01            -6.870524E-01             4.724211E+00             5.467880E+00             2.140410E+01             2.209148E+01
                   1.6200            -6.846560E+00            -5.081202E+01            -1.194877E+00             4.711208E+00             5.969714E+00             2.148061E+01             2.229471E+01
                   1.8000            -7.402668E+00            -5.085094E+01            -1.701912E+00             4.699170E+00             6.471695E+00             2.155831E+01             2.250875E+01
                   1.9800            -7.958007E+00            -5.089148E+01            -2.208207E+00             4.688089E+00             6.973864E+00             2.163713E+01             2.273324E+01
                   2.1600            -8.512531E+00            -5.093362E+01            -2.713718E+00             4.677955E+00             7.476162E+00             2.171700E+01             2.296782E+01
                   2.3400            -9.066259E+00            -5.097735E+01            -3.218464E+00             4.668763E+00             7.978602E+00             2.179783E+01             2.321214E+01
                   2.5200            -9.619170E+00            -5.102266E+01            -3.722428E+00             4.660506E+00             8.481158E+00             2.187955E+01             2.346582E+01
                   2.7000            -1.017126E+01            -5.106952E+01            -4.225601E+00             4.653180E+00             8.983816E+00             2.196208E+01             2.372850E+01
                   2.8800            -1.072252E+01            -5.111792E+01            -4.727989E+00             4.646781E+00             9.486577E+00             2.204533E+01             2.399983E+01
                   3.0600            -1.127293E+01            -5.116784E+01            -5.229570E+00             4.641304E+00             9.989414E+00             2.212924E+01             2.427945E+01
                   3.2400            -1.182250E+01            -5.121926E+01            -5.730347E+00             4.636745E+00             1.049233E+01             2.221371E+01             2.456701E+01
                   3.4200            -1.237121E+01            -5.127216E+01            -6.230318E+00             4.633101E+00             1.099531E+01             2.229868E+01             2.486218E+01
                   3.6000            -1.291906E+01            -5.132653E+01            -6.729472E+00             4.630367E+00             1.149834E+01             2.238405E+01             2.516461E+01
                   3.7800            -1.346603E+01            -5.138235E+01            -7.227798E+00             4.628541E+00             1.200142E+01             2.246974E+01             2.547398E+01
                   3.9600            -1.401212E+01            -5.143959E+01            -7.725299E+00             4.627617E+00             1.250454E+01             2.255568E+01             2.578997E+01
                   4.1400            -1.455731E+01            -5.149824E+01            -8.221961E+00             4.627593E+00             1.300769E+01             2.264179E+01             2.611227E+01
                   4.3200            -1.510160E+01            -5.155827E+01            -8.717782E+00             4.628463E+00             1.351085E+01             2.272798E+01             2.644058E+01
                   4.5000            -1.564498E+01            -5.161966E+01            -9.212754E+00             4.630222E+00             1.401403E+01             2.281417E+01             2.677461E+01
