                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             8.290479E-02             7.465051E-04             2.245472E-06             7.068021E-05             8.194308E-04             5.721823E-01             8.650359E-02             5.730017E-01
                   0.1800             8.439480E-02            -2.288026E-03            -6.882326E-06             3.075937E-04            -1.987314E-03             5.731059E-01             8.641116E-02             5.711185E-01
                   0.3600             8.459724E-02            -4.519752E-03            -1.359527E-05             6.398017E-04            -3.893546E-03             5.729704E-01             8.637479E-02             5.690768E-01
                   0.5400             8.482078E-02            -6.751588E-03            -2.030846E-05             9.713496E-04            -5.800547E-03             5.728584E-01             8.633886E-02             5.670579E-01
                   0.7200             8.506535E-02            -8.983300E-03            -2.702115E-05             1.302192E-03            -7.708129E-03             5.727715E-01             8.630497E-02             5.650634E-01
                   0.9000             8.533067E-02            -1.121428E-02            -3.373151E-05             1.632308E-03            -9.615708E-03             5.727105E-01             8.627419E-02             5.630948E-01
                   1.0800             8.561635E-02            -1.344440E-02            -4.043906E-05             1.961690E-03            -1.152315E-02             5.726762E-01             8.624779E-02             5.611530E-01
                   1.2600             8.592197E-02            -1.567397E-02            -4.714472E-05             2.290338E-03            -1.343078E-02             5.726692E-01             8.622683E-02             5.592384E-01
                   1.4400             8.624699E-02            -1.790257E-02            -5.384717E-05             2.618259E-03            -1.533815E-02             5.726898E-01             8.621212E-02             5.573516E-01
                   1.6200             8.659085E-02            -2.013012E-02            -6.054618E-05             2.945461E-03            -1.724520E-02             5.733067E-01             8.620417E-02             5.560615E-01
                   1.8000             8.695293E-02            -2.235639E-02            -6.724099E-05             3.271957E-03            -1.915168E-02             5.740325E-01             8.620324E-02             5.548808E-01
                   1.9800             8.733269E-02            -2.458150E-02            -7.393190E-05             3.597762E-03            -2.105767E-02             5.747840E-01             8.620926E-02             5.537263E-01
                   2.1600             8.772947E-02            -2.680512E-02            -8.061788E-05             3.922890E-03            -2.296284E-02             5.755601E-01             8.622190E-02             5.525972E-01
