                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   0.0000             1.369937E-15             2.034571E+02             1.369937E-15             2.414461E+01             0.000000E+00             2.276017E+02             0.000000E+00             6.543740E-05             1.169184E+00             5.771024E-02             9.192814E-01             5.075816E-01             1.673547E+01             1.543460E+01             1.298430E+01             3.774929E+01
                   0.1800             1.540652E+01             1.956121E+02             5.764737E-02             2.323156E+01             1.534888E+01             2.188437E+02             0.000000E+00             2.528135E-03             1.174382E+00             5.770954E-02             9.443449E-01             3.608115E-01             1.673541E+01             1.570919E+01             1.298634E+01             3.774929E+01
                   0.3600             1.538502E+01             1.878186E+02             8.692738E-02             2.232257E+01             1.529809E+01             2.101411E+02             0.000000E+00             4.309484E-03             1.179469E+00             5.770724E-02             9.464518E-01             2.871061E-01             1.673520E+01             1.577252E+01             1.298075E+01             3.774929E+01
                   0.5400             1.536205E+01             1.800249E+02             1.099532E-01             2.141144E+01             1.525210E+01             2.014364E+02             0.000000E+00             5.863447E-03             1.184320E+00             5.770340E-02             9.487488E-01             2.134703E-01             1.673483E+01             1.584335E+01             1.297463E+01             3.774929E+01
                   0.7200             1.533935E+01             1.722324E+02             1.269372E-01             2.049837E+01             1.521241E+01             1.927307E+02             0.000000E+00             7.301553E-03             1.188931E+00             5.769803E-02             9.512374E-01             1.399098E-01             1.673433E+01             1.592149E+01             1.296826E+01             3.774929E+01
                   0.9000             1.531800E+01             1.644419E+02             1.390468E-01             1.958361E+01             1.517896E+01             1.840255E+02             0.000000E+00             8.672997E-03             1.193298E+00             5.769112E-02             9.539167E-01             6.644598E-02             1.673368E+01             1.600672E+01             1.296179E+01             3.774929E+01
                   1.0800             1.529869E+01             1.566549E+02             1.475260E-01             1.866740E+01             1.515117E+01             1.753223E+02             0.000000E+00             1.000204E-02             1.197420E+00             5.768268E-02             9.567860E-01             6.916499E-03             1.673288E+01             1.609880E+01             1.295544E+01             3.774929E+01
                   1.2600             1.528181E+01             1.488726E+02             1.534163E-01             1.775002E+01             1.512840E+01             1.666227E+02             0.000000E+00             1.130122E-02             1.201293E+00             5.767271E-02             9.598441E-01             8.018950E-02             1.673194E+01             1.619750E+01             1.294939E+01             3.774929E+01
                   1.4400             1.526757E+01             1.410967E+02             1.575088E-01             1.683174E+01             1.511006E+01             1.579284E+02             0.000000E+00             1.257718E-02             1.204917E+00             5.766121E-02             9.630888E-01             1.533561E-01             1.673086E+01             1.630257E+01             1.294379E+01             3.774929E+01
                   1.6200             1.525604E+01             1.333287E+02             1.603756E-01             1.591287E+01             1.509566E+01             1.492416E+02             0.000000E+00             1.383358E-02             1.208292E+00             5.764817E-02             9.665176E-01             2.264127E-01             1.672963E+01             1.641374E+01             1.293874E+01             3.774929E+01
                   1.8000             1.524722E+01             1.255707E+02             1.624185E-01             1.499375E+01             1.508480E+01             1.405644E+02             0.000000E+00             1.507251E-02             1.211416E+00             5.763360E-02             9.701278E-01             2.993488E-01             1.672826E+01             1.653076E+01             1.293432E+01             3.774929E+01
                   1.9800             1.524106E+01             1.178249E+02             1.639152E-01             1.407474E+01             1.507714E+01             1.318996E+02             0.000000E+00             1.629530E-02             1.214290E+00             5.761750E-02             9.739168E-01             3.721673E-01             1.672674E+01             1.665337E+01             1.293057E+01             3.774929E+01
                   2.1600             1.523745E+01             1.100939E+02             1.650553E-01             1.315626E+01             1.507240E+01             1.232501E+02             0.000000E+00             1.750288E-02             1.216913E+00             5.759987E-02             9.778813E-01             4.448541E-01             1.672508E+01             1.678131E+01             1.292751E+01             3.774929E+01
                   2.3400             1.523629E+01             1.023808E+02             1.659670E-01             1.223879E+01             1.507032E+01             1.146196E+02             0.000000E+00             1.869600E-02             1.219285E+00             5.758072E-02             9.820184E-01             5.174071E-01             1.672328E+01             1.691433E+01             1.292513E+01             3.774929E+01
                   2.5200             1.523743E+01             9.468948E+01             1.667366E-01             1.132286E+01             1.507069E+01             1.060123E+02             0.000000E+00             1.987530E-02             1.221408E+00             5.756003E-02             9.863245E-01             5.898175E-01             1.672133E+01             1.705218E+01             1.292339E+01             3.774929E+01
                   2.7000             1.524073E+01             8.702442E+01             1.674216E-01             1.040915E+01             1.507331E+01             9.743357E+01             0.000000E+00             2.104140E-02             1.223281E+00             5.753782E-02             9.907964E-01             6.620785E-01             1.671924E+01             1.719460E+01             1.292225E+01             3.774929E+01
                   2.8800             1.524604E+01             7.939138E+01             1.680601E-01             9.498428E+00             1.507798E+01             8.888980E+01             0.000000E+00             2.219489E-02             1.224906E+00             5.751409E-02             9.954306E-01             7.341857E-01             1.671700E+01             1.734138E+01             1.292165E+01             3.774929E+01
                   3.0600             1.525321E+01             7.179767E+01             1.686771E-01             8.591674E+00             1.508453E+01             8.038935E+01             0.000000E+00             2.333635E-02             1.226284E+00             5.748884E-02             1.000223E+00             8.061299E-01             1.671462E+01             1.749227E+01             1.292154E+01             3.774929E+01
                   3.2400             1.526207E+01             6.425286E+01             1.692883E-01             7.690131E+00             1.509278E+01             7.194299E+01             0.000000E+00             2.446632E-02             1.227415E+00             5.746206E-02             1.005171E+00             8.779067E-01             1.671210E+01             1.764706E+01             1.292186E+01             3.774929E+01
                   3.4200             1.527247E+01             5.676979E+01             1.699037E-01             6.795438E+00             1.510256E+01             6.356523E+01             0.000000E+00             2.558534E-02             1.228302E+00             5.743377E-02             1.010271E+00             9.495107E-01             1.670944E+01             1.780554E+01             1.292253E+01             3.774929E+01
                   3.6000             1.528424E+01             4.936631E+01             1.705292E-01             5.909827E+00             1.511371E+01             5.527613E+01             0.000000E+00             2.669393E-02             1.228947E+00             5.740396E-02             1.015518E+00             1.020935E+00             1.670663E+01             1.796749E+01             1.292352E+01             3.774929E+01
                   3.7800             1.529723E+01             4.206820E+01             1.711677E-01             5.036483E+00             1.512606E+01             4.710468E+01             0.000000E+00             2.779258E-02             1.229354E+00             5.737263E-02             1.020908E+00             1.092175E+00             1.670369E+01             1.813273E+01             1.292476E+01             3.774929E+01
                   3.9600             1.531127E+01             3.491459E+01             1.718203E-01             4.180182E+00             1.513945E+01             3.909477E+01             0.000000E+00             2.888176E-02             1.229526E+00             5.733979E-02             1.026439E+00             1.163226E+00             1.670060E+01             1.830108E+01             1.292621E+01             3.774929E+01
                   4.1400             1.532619E+01             2.796834E+01             1.724869E-01             3.348541E+00             1.515370E+01             3.131688E+01             0.000000E+00             2.996193E-02             1.229470E+00             5.730544E-02             1.032105E+00             1.234083E+00             1.669737E+01             1.847234E+01             1.292782E+01             3.774929E+01
                   4.3200             1.534182E+01             2.133806E+01             1.731664E-01             2.554648E+00             1.516866E+01             2.389271E+01             0.000000E+00             3.103351E-02             1.229194E+00             5.726957E-02             1.037904E+00             1.304744E+00             1.669399E+01             1.864636E+01             1.292956E+01             3.774929E+01
                   4.5000             1.535801E+01             1.522743E+01             1.738573E-01             1.822959E+00             1.518415E+01             1.705039E+01             0.000000E+00             3.209692E-02             1.228710E+00             5.723221E-02             1.043829E+00             1.375210E+00             1.669048E+01             1.882296E+01             1.293140E+01             3.774929E+01
                   4.6800             1.537459E+01             1.004292E+01             1.745574E-01             1.202191E+00             1.520003E+01             1.124511E+01             0.000000E+00             3.315256E-02             1.228043E+00             5.719333E-02             1.049878E+00             1.445486E+00             1.668682E+01             1.900201E+01             1.293329E+01             3.774929E+01
                   4.8600             1.539137E+01             6.501586E+00             1.752644E-01             7.781915E-01             1.521611E+01             7.279777E+00             0.000000E+00             3.420082E-02             1.227234E+00             5.715296E-02             1.056043E+00             1.515588E+00             1.668303E+01             1.918335E+01             1.293523E+01             3.774929E+01
                   5.0400             1.540821E+01             5.018052E+00             1.759756E-01             6.005526E-01             1.523223E+01             5.618605E+00             0.000000E+00             3.524207E-02             1.226345E+00             5.711108E-02             1.062318E+00             1.585543E+00             1.667909E+01             1.936685E+01             1.293718E+01             3.774929E+01
                   5.2200             1.542492E+01             4.707338E+00             1.766883E-01             5.632980E-01             1.524823E+01             5.270636E+00             0.000000E+00             3.627666E-02             1.225433E+00             5.706771E-02             1.068697E+00             1.655380E+00             1.667502E+01             1.955238E+01             1.293913E+01             3.774929E+01
                   5.4000             1.544133E+01             4.702358E+00             1.773996E-01             5.626329E-01             1.526393E+01             5.264991E+00             0.000000E+00             3.730494E-02             1.224521E+00             5.702285E-02             1.075176E+00             1.725109E+00             1.667080E+01             1.973982E+01             1.294106E+01             3.774929E+01
                   5.5800             1.545728E+01             4.753633E+00             1.781065E-01             5.686980E-01             1.527917E+01             5.322331E+00             0.000000E+00             3.832727E-02             1.223615E+00             5.697649E-02             1.081750E+00             1.794732E+00             1.666645E+01             1.992907E+01             1.294297E+01             3.774929E+01
                   5.7600             1.547258E+01             4.815311E+00             1.788059E-01             5.760059E-01             1.529377E+01             5.391317E+00             0.000000E+00             3.934397E-02             1.222715E+00             5.692865E-02             1.088418E+00             1.864250E+00             1.666195E+01             2.012002E+01             1.294484E+01             3.774929E+01
                   5.9400             1.548706E+01             4.879659E+00             1.794946E-01             5.836314E-01             1.530757E+01             5.463290E+00             0.000000E+00             4.035537E-02             1.221820E+00             5.687932E-02             1.095175E+00             1.933663E+00             1.665732E+01             2.031257E+01             1.294666E+01             3.774929E+01
                   6.1200             1.550056E+01             4.945367E+00             1.801696E-01             5.914177E-01             1.532039E+01             5.536785E+00             0.000000E+00             4.136181E-02             1.220932E+00             5.682850E-02             1.102019E+00             2.002969E+00             1.665255E+01             2.050662E+01             1.294842E+01             3.774929E+01
                   6.3000             1.551288E+01             5.012208E+00             1.808274E-01             5.993376E-01             1.533205E+01             5.611545E+00             0.000000E+00             4.236361E-02             1.220050E+00             5.677621E-02             1.108947E+00             2.072170E+00             1.664765E+01             2.070209E+01             1.295012E+01             3.774929E+01
                   6.4800             1.552386E+01             5.080140E+00             1.814650E-01             6.073860E-01             1.534240E+01             5.687526E+00             0.000000E+00             4.336108E-02             1.219174E+00             5.672245E-02             1.115954E+00             2.141264E+00             1.664260E+01             2.089888E+01             1.295175E+01             3.774929E+01
                   6.6600             1.553333E+01             5.149154E+00             1.820788E-01             6.155619E-01             1.535125E+01             5.764716E+00             0.000000E+00             4.435455E-02             1.218304E+00             5.666721E-02             1.123040E+00             2.210252E+00             1.663742E+01             2.109693E+01             1.295331E+01             3.774929E+01
                   6.8400             1.554109E+01             5.219248E+00             1.826657E-01             6.238648E-01             1.535842E+01             5.843112E+00             0.000000E+00             4.534434E-02             1.217441E+00             5.661050E-02             1.130199E+00             2.279133E+00             1.663210E+01             2.129614E+01             1.295479E+01             3.774929E+01
                   7.0200             1.554698E+01             5.290419E+00             1.832222E-01             6.322945E-01             1.536376E+01             5.922714E+00             0.000000E+00             4.633077E-02             1.216583E+00             5.655233E-02             1.137430E+00             2.347907E+00             1.662665E+01             2.149645E+01             1.295619E+01             3.774929E+01
                   7.2000             1.555082E+01             5.362666E+00             1.837450E-01             6.408508E-01             1.536708E+01             6.003517E+00             0.000000E+00             4.731416E-02             1.215731E+00             5.649270E-02             1.144730E+00             2.416574E+00             1.662106E+01             2.169779E+01             1.295750E+01             3.774929E+01
