                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   0.0000             3.280946E+02             3.280946E+02             3.307726E+02             3.307726E+02             3.317462E+02             3.286505E+02             3.282463E+02             3.286505E+02             3.282463E+02
                   0.1800             3.280127E+02             3.280553E+02             3.306808E+02             3.307272E+02             3.317025E+02             3.285897E+02             3.281950E+02             3.286090E+02             3.282194E+02
                   0.3600             3.279299E+02             3.279959E+02             3.305914E+02             3.306644E+02             3.316405E+02             3.285339E+02             3.281473E+02             3.285488E+02             3.281660E+02
                   0.5400             3.278529E+02             3.279360E+02             3.305084E+02             3.306016E+02             3.315786E+02             3.284757E+02             3.280957E+02             3.284882E+02             3.281114E+02
                   0.7200             3.277794E+02             3.278764E+02             3.304294E+02             3.305395E+02             3.315171E+02             3.284168E+02             3.280423E+02             3.284279E+02             3.280564E+02
                   0.9000             3.277088E+02             3.278176E+02             3.303538E+02             3.304784E+02             3.314565E+02             3.283581E+02             3.279885E+02             3.283684E+02             3.280017E+02
                   1.0800             3.276410E+02             3.277600E+02             3.302812E+02             3.304187E+02             3.313973E+02             3.283003E+02             3.279350E+02             3.283101E+02             3.279480E+02
                   1.2600             3.275759E+02             3.277039E+02             3.302116E+02             3.303607E+02             3.313397E+02             3.282437E+02             3.278824E+02             3.282535E+02             3.278955E+02
                   1.4400             3.275134E+02             3.276495E+02             3.301449E+02             3.303045E+02             3.312840E+02             3.281887E+02             3.278311E+02             3.281985E+02             3.278445E+02
                   1.6200             3.274536E+02             3.275971E+02             3.300810E+02             3.302504E+02             3.312302E+02             3.281354E+02             3.277812E+02             3.281455E+02             3.277953E+02
                   1.8000             3.273964E+02             3.275466E+02             3.300200E+02             3.301983E+02             3.311784E+02             3.280839E+02             3.277329E+02             3.280945E+02             3.277478E+02
                   1.9800             3.273419E+02             3.274981E+02             3.299618E+02             3.301483E+02             3.311287E+02             3.280344E+02             3.276864E+02             3.280456E+02             3.277023E+02
                   2.1600             3.272899E+02             3.274517E+02             3.299064E+02             3.301004E+02             3.310811E+02             3.279869E+02             3.276418E+02             3.279987E+02             3.276587E+02
                   2.3400             3.272405E+02             3.274074E+02             3.298536E+02             3.300547E+02             3.310357E+02             3.279414E+02             3.275989E+02             3.279539E+02             3.276170E+02
                   2.5200             3.271936E+02             3.273652E+02             3.298035E+02             3.300111E+02             3.309923E+02             3.278979E+02             3.275580E+02             3.279112E+02             3.275772E+02
                   2.7000             3.271491E+02             3.273250E+02             3.297560E+02             3.299697E+02             3.309511E+02             3.278565E+02             3.275190E+02             3.278706E+02             3.275394E+02
                   2.8800             3.271070E+02             3.272869E+02             3.297111E+02             3.299304E+02             3.309120E+02             3.278171E+02             3.274819E+02             3.278321E+02             3.275036E+02
                   3.0600             3.270673E+02             3.272509E+02             3.296686E+02             3.298932E+02             3.308750E+02             3.277798E+02             3.274468E+02             3.277956E+02             3.274697E+02
                   3.2400             3.270299E+02             3.272168E+02             3.296286E+02             3.298581E+02             3.308400E+02             3.277445E+02             3.274135E+02             3.277612E+02             3.274376E+02
                   3.4200             3.269947E+02             3.271848E+02             3.295910E+02             3.298251E+02             3.308071E+02             3.277113E+02             3.273821E+02             3.277289E+02             3.274075E+02
                   3.6000             3.269618E+02             3.271548E+02             3.295557E+02             3.297941E+02             3.307763E+02             3.276800E+02             3.273526E+02             3.276985E+02             3.273793E+02
                   3.7800             3.269310E+02             3.271268E+02             3.295228E+02             3.297652E+02             3.307474E+02             3.276508E+02             3.273250E+02             3.276701E+02             3.273529E+02
                   3.9600             3.269024E+02             3.271008E+02             3.294921E+02             3.297383E+02             3.307206E+02             3.276235E+02             3.272993E+02             3.276437E+02             3.273284E+02
                   4.1400             3.268759E+02             3.270767E+02             3.294636E+02             3.297134E+02             3.306958E+02             3.275982E+02             3.272754E+02             3.276193E+02             3.273057E+02
                   4.3200             3.268514E+02             3.270545E+02             3.294373E+02             3.296905E+02             3.306729E+02             3.275748E+02             3.272533E+02             3.275969E+02             3.272848E+02
                   4.5000             3.268290E+02             3.270342E+02             3.294131E+02             3.296695E+02             3.306520E+02             3.275534E+02             3.272330E+02             3.275763E+02             3.272657E+02
                   4.6800             3.268086E+02             3.270158E+02             3.293910E+02             3.296505E+02             3.306329E+02             3.275338E+02             3.272146E+02             3.275577E+02             3.272484E+02
                   4.8600             3.267901E+02             3.269993E+02             3.293710E+02             3.296334E+02             3.306159E+02             3.275162E+02             3.271978E+02             3.275409E+02             3.272329E+02
                   5.0400             3.267736E+02             3.269847E+02             3.293531E+02             3.296182E+02             3.306006E+02             3.275004E+02             3.271829E+02             3.275260E+02             3.272191E+02
                   5.2200             3.267590E+02             3.269718E+02             3.293371E+02             3.296049E+02             3.305873E+02             3.274864E+02             3.271696E+02             3.275130E+02             3.272070E+02
                   5.4000             3.267461E+02             3.269608E+02             3.293230E+02             3.295934E+02             3.305757E+02             3.274742E+02             3.271580E+02             3.275017E+02             3.271965E+02
                   5.5800             3.267351E+02             3.269515E+02             3.293108E+02             3.295837E+02             3.305659E+02             3.274638E+02             3.271481E+02             3.274922E+02             3.271877E+02
                   5.7600             3.267258E+02             3.269438E+02             3.293004E+02             3.295758E+02             3.305579E+02             3.274551E+02             3.271397E+02             3.274844E+02             3.271805E+02
                   5.9400             3.267182E+02             3.269378E+02             3.292918E+02             3.295695E+02             3.305515E+02             3.274480E+02             3.271329E+02             3.274782E+02             3.271748E+02
                   6.1200             3.267121E+02             3.269333E+02             3.292848E+02             3.295648E+02             3.305466E+02             3.274425E+02             3.271275E+02             3.274736E+02             3.271706E+02
                   6.3000             3.267074E+02             3.269302E+02             3.292792E+02             3.295614E+02             3.305432E+02             3.274383E+02             3.271234E+02             3.274703E+02             3.271676E+02
                   6.4800             3.267039E+02             3.269282E+02             3.292749E+02             3.295593E+02             3.305409E+02             3.274352E+02             3.271204E+02             3.274682E+02             3.271657E+02
                   6.6600             3.267011E+02             3.269270E+02             3.292714E+02             3.295579E+02             3.305393E+02             3.274329E+02             3.271180E+02             3.274669E+02             3.271645E+02
                   6.8400             3.266987E+02             3.269261E+02             3.292683E+02             3.295569E+02             3.305382E+02             3.274310E+02             3.271160E+02             3.274659E+02             3.271636E+02
                   7.0200             3.266965E+02             3.269254E+02             3.292655E+02             3.295559E+02             3.305371E+02             3.274292E+02             3.271142E+02             3.274650E+02             3.271629E+02
                   7.2000             3.266944E+02             3.269246E+02             3.292626E+02             3.295550E+02             3.305360E+02             3.274274E+02             3.271123E+02             3.274641E+02             3.271621E+02
                   7.3800             3.266922E+02             3.269238E+02             3.292599E+02             3.295541E+02             3.305349E+02             3.274256E+02             3.271104E+02             3.274631E+02             3.271613E+02
                   7.5600             3.266901E+02             3.269230E+02             3.292572E+02             3.295531E+02             3.305338E+02             3.274237E+02             3.271085E+02             3.274622E+02             3.271605E+02
                   7.7400             3.266879E+02             3.269221E+02             3.292545E+02             3.295521E+02             3.305326E+02             3.274219E+02             3.271066E+02             3.274612E+02             3.271596E+02
                   7.9200             3.266858E+02             3.269212E+02             3.292518E+02             3.295511E+02             3.305314E+02             3.274200E+02             3.271047E+02             3.274602E+02             3.271587E+02
                   8.1000             3.266836E+02             3.269203E+02             3.292491E+02             3.295500E+02             3.305302E+02             3.274180E+02             3.271027E+02             3.274591E+02             3.271578E+02
                   8.2800             3.266814E+02             3.269193E+02             3.292464E+02             3.295489E+02             3.305289E+02             3.274160E+02             3.271008E+02             3.274580E+02             3.271568E+02
                   8.4600             3.266792E+02             3.269183E+02             3.292437E+02             3.295477E+02             3.305276E+02             3.274140E+02             3.270987E+02             3.274569E+02             3.271558E+02
                   8.6400             3.266770E+02             3.269172E+02             3.292410E+02             3.295465E+02             3.305262E+02             3.274120E+02             3.270967E+02             3.274557E+02             3.271548E+02
                   8.8200             3.266747E+02             3.269161E+02             3.292383E+02             3.295452E+02             3.305248E+02             3.274099E+02             3.270946E+02             3.274545E+02             3.271536E+02
                   9.0000             3.266724E+02             3.269149E+02             3.292355E+02             3.295439E+02             3.305233E+02             3.274077E+02             3.270924E+02             3.274532E+02             3.271525E+02
                   9.1800             3.266700E+02             3.269137E+02             3.292328E+02             3.295425E+02             3.305217E+02             3.274055E+02             3.270902E+02             3.274518E+02             3.271513E+02
                   9.3600             3.266676E+02             3.269124E+02             3.292299E+02             3.295411E+02             3.305201E+02             3.274032E+02             3.270880E+02             3.274504E+02             3.271500E+02
