                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                             9.0000                       5.011945E-08                       3.283313E-05                       1.010003E+02                       3.036732E+02                       1.003302E+02                       3.030960E+02
                             9.1800                       5.014796E-08                       3.283260E-05                       1.010003E+02                       3.036732E+02                       1.003325E+02                       3.030980E+02
                             9.3600                       5.018061E-08                       3.283205E-05                       1.010003E+02                       3.036732E+02                       1.003348E+02                       3.031000E+02
                             9.5400                       5.021757E-08                       3.283149E-05                       1.010003E+02                       3.036732E+02                       1.003372E+02                       3.031021E+02
                             9.7200                       5.025903E-08                       3.283092E-05                       1.010003E+02                       3.036732E+02                       1.003397E+02                       3.031042E+02
                             9.9000                       5.030516E-08                       3.283033E-05                       1.010003E+02                       3.036732E+02                       1.003422E+02                       3.031064E+02
                            10.0800                       5.035613E-08                       3.282972E-05                       1.010003E+02                       3.036732E+02                       1.003448E+02                       3.031086E+02
                            10.2600                       5.041214E-08                       3.282910E-05                       1.010003E+02                       3.036732E+02                       1.003475E+02                       3.031109E+02
                            10.4400                       5.047335E-08                       3.282847E-05                       1.010003E+02                       3.036732E+02                       1.003502E+02                       3.031132E+02
                            10.6200                       5.053994E-08                       3.282782E-05                       1.010003E+02                       3.036732E+02                       1.003530E+02                       3.031156E+02
                            10.8000                       5.061210E-08                       3.282715E-05                       1.010003E+02                       3.036732E+02                       1.003558E+02                       3.031181E+02
                            10.9800                       5.069000E-08                       3.282647E-05                       1.010003E+02                       3.036732E+02                       1.003587E+02                       3.031206E+02
                            11.1600                       5.077382E-08                       3.282578E-05                       1.010003E+02                       3.036732E+02                       1.003617E+02                       3.031232E+02
                            11.3400                       5.086374E-08                       3.282506E-05                       1.010003E+02                       3.036732E+02                       1.003648E+02                       3.031258E+02
                            11.5200                       5.095993E-08                       3.282434E-05                       1.010003E+02                       3.036732E+02                       1.003679E+02                       3.031285E+02
                            11.7000                       5.106258E-08                       3.282359E-05                       1.010003E+02                       3.036732E+02                       1.003711E+02                       3.031313E+02
                            11.8800                       5.117185E-08                       3.282283E-05                       1.010003E+02                       3.036732E+02                       1.003743E+02                       3.031341E+02
                            12.0600                       5.128793E-08                       3.282205E-05                       1.010003E+02                       3.036732E+02                       1.003777E+02                       3.031370E+02
                            12.2400                       5.141100E-08                       3.282126E-05                       1.010003E+02                       3.036732E+02                       1.003811E+02                       3.031399E+02
                            12.4200                       5.154123E-08                       3.282045E-05                       1.010003E+02                       3.036732E+02                       1.003846E+02                       3.031429E+02
                            12.6000                       5.167880E-08                       3.281962E-05                       1.010003E+02                       3.036732E+02                       1.003881E+02                       3.031460E+02
                            12.7800                       5.182389E-08                       3.281877E-05                       1.010003E+02                       3.036732E+02                       1.003917E+02                       3.031491E+02
                            12.9600                       5.197667E-08                       3.281791E-05                       1.010003E+02                       3.036732E+02                       1.003954E+02                       3.031523E+02
                            13.1400                       5.213732E-08                       3.281703E-05                       1.010003E+02                       3.036732E+02                       1.003992E+02                       3.031556E+02
                            13.3200                       5.230601E-08                       3.281613E-05                       1.010003E+02                       3.036732E+02                       1.004030E+02                       3.031589E+02
                            13.5000                       5.248293E-08                       3.281522E-05                       1.010003E+02                       3.036732E+02                       1.004070E+02                       3.031623E+02
                            13.6800                       5.266825E-08                       3.281428E-05                       1.010003E+02                       3.036732E+02                       1.004110E+02                       3.031657E+02
                            13.8600                       5.286215E-08                       3.281333E-05                       1.010003E+02                       3.036732E+02                       1.004151E+02                       3.031692E+02
                            14.0400                       5.306479E-08                       3.281236E-05                       1.010003E+02                       3.036732E+02                       1.004192E+02                       3.031728E+02
                            14.2200                       5.327637E-08                       3.281137E-05                       1.010003E+02                       3.036732E+02                       1.004235E+02                       3.031765E+02
                            14.4000                       5.349705E-08                       3.281036E-05                       1.010003E+02                       3.036732E+02                       1.004278E+02                       3.031802E+02
                            14.5800                       5.372700E-08                       3.280934E-05                       1.010003E+02                       3.036732E+02                       1.004322E+02                       3.031840E+02
                            14.7600                       5.396642E-08                       3.280829E-05                       1.010003E+02                       3.036732E+02                       1.004367E+02                       3.031879E+02
                            14.9400                       5.421546E-08                       3.280722E-05                       1.010003E+02                       3.036732E+02                       1.004413E+02                       3.031918E+02
                            15.1200                       5.447431E-08                       3.280614E-05                       1.010003E+02                       3.036732E+02                       1.004459E+02                       3.031959E+02
                            15.3000                       5.474313E-08                       3.280504E-05                       1.010003E+02                       3.036732E+02                       1.004506E+02                       3.031999E+02
                            15.4800                       5.502212E-08                       3.280391E-05                       1.010003E+02                       3.036732E+02                       1.004555E+02                       3.032041E+02
                            15.6600                       5.531143E-08                       3.280277E-05                       1.010003E+02                       3.036732E+02                       1.004604E+02                       3.032083E+02
                            15.8400                       5.561124E-08                       3.280160E-05                       1.010003E+02                       3.036732E+02                       1.004654E+02                       3.032127E+02
                            16.0200                       5.592174E-08                       3.280042E-05                       1.010003E+02                       3.036732E+02                       1.004704E+02                       3.032170E+02
                            16.2000                       5.624309E-08                       3.279922E-05                       1.010003E+02                       3.036732E+02                       1.004756E+02                       3.032215E+02
                            16.3800                       5.657546E-08                       3.279799E-05                       1.010003E+02                       3.036732E+02                       1.004809E+02                       3.032260E+02
                            16.5600                       5.691904E-08                       3.279674E-05                       1.010003E+02                       3.036732E+02                       1.004862E+02                       3.032306E+02
                            16.7400                       5.727398E-08                       3.279548E-05                       1.010003E+02                       3.036732E+02                       1.004917E+02                       3.032353E+02
                            16.9200                       5.764048E-08                       3.279419E-05                       1.010003E+02                       3.036732E+02                       1.004972E+02                       3.032401E+02
                            17.1000                       5.801870E-08                       3.279288E-05                       1.010003E+02                       3.036732E+02                       1.005028E+02                       3.032449E+02
                            17.2800                       5.840881E-08                       3.279155E-05                       1.010003E+02                       3.036732E+02                       1.005085E+02                       3.032499E+02
                            17.4600                       5.881099E-08                       3.279020E-05                       1.010003E+02                       3.036732E+02                       1.005143E+02                       3.032549E+02
                            17.6400                       5.922540E-08                       3.278883E-05                       1.010003E+02                       3.036732E+02                       1.005202E+02                       3.032600E+02
                            17.8200                       5.965223E-08                       3.278743E-05                       1.010003E+02                       3.036732E+02                       1.005262E+02                       3.032651E+02
                            18.0000                       6.009165E-08                       3.278601E-05                       1.010003E+02                       3.036732E+02                       1.005323E+02                       3.032704E+02
                            18.1800                       6.054382E-08                       3.278458E-05                       1.010003E+02                       3.036732E+02                       1.005385E+02                       3.032757E+02
                            18.3600                       6.100891E-08                       3.278311E-05                       1.010003E+02                       3.036732E+02                       1.005448E+02                       3.032811E+02
                            18.5400                       6.148711E-08                       3.278163E-05                       1.010003E+02                       3.036732E+02                       1.005511E+02                       3.032866E+02
                            18.7200                       6.197858E-08                       3.278012E-05                       1.010003E+02                       3.036732E+02                       1.005576E+02                       3.032922E+02
                            18.9000                       6.248349E-08                       3.277859E-05                       1.010003E+02                       3.036732E+02                       1.005642E+02                       3.032979E+02
                            19.0800                       6.300202E-08                       3.277704E-05                       1.010003E+02                       3.036732E+02                       1.005709E+02                       3.033036E+02
                            19.2600                       6.353433E-08                       3.277547E-05                       1.010003E+02                       3.036732E+02                       1.005776E+02                       3.033095E+02
                            19.4400                       6.408059E-08                       3.277387E-05                       1.010003E+02                       3.036732E+02                       1.005845E+02                       3.033154E+02
                            19.6200                       6.464098E-08                       3.277225E-05                       1.010003E+02                       3.036732E+02                       1.005915E+02                       3.033214E+02
                            19.8000                       6.521567E-08                       3.277060E-05                       1.010003E+02                       3.036732E+02                       1.005986E+02                       3.033275E+02
                            19.9800                       6.580482E-08                       3.276893E-05                       1.010003E+02                       3.036732E+02                       1.006057E+02                       3.033337E+02
                            20.1600                       6.640861E-08                       3.276724E-05                       1.010003E+02                       3.036732E+02                       1.006130E+02                       3.033400E+02
                            20.3400                       6.702720E-08                       3.276552E-05                       1.010003E+02                       3.036732E+02                       1.006204E+02                       3.033463E+02
                            20.5200                       6.766077E-08                       3.276378E-05                       1.010003E+02                       3.036732E+02                       1.006279E+02                       3.033528E+02
                            20.7000                       6.830948E-08                       3.276201E-05                       1.010003E+02                       3.036732E+02                       1.006355E+02                       3.033593E+02
                            20.8800                       6.897350E-08                       3.276022E-05                       1.010003E+02                       3.036732E+02                       1.006432E+02                       3.033660E+02
                            21.0600                       6.965300E-08                       3.275841E-05                       1.010003E+02                       3.036732E+02                       1.006510E+02                       3.033727E+02
                            21.2400                       7.034816E-08                       3.275657E-05                       1.010003E+02                       3.036732E+02                       1.006589E+02                       3.033795E+02
                            21.4200                       7.105912E-08                       3.275470E-05                       1.010003E+02                       3.036732E+02                       1.006670E+02                       3.033865E+02
                            21.6000                       7.178608E-08                       3.275282E-05                       1.010003E+02                       3.036732E+02                       1.006751E+02                       3.033935E+02
                            21.7800                       7.252918E-08                       3.275090E-05                       1.010003E+02                       3.036732E+02                       1.006834E+02                       3.034006E+02
                            21.9600                       7.328861E-08                       3.274896E-05                       1.010003E+02                       3.036732E+02                       1.006917E+02                       3.034078E+02
                            22.1400                       7.406452E-08                       3.274699E-05                       1.010003E+02                       3.036732E+02                       1.007002E+02                       3.034151E+02
                            22.3200                       7.485709E-08                       3.274500E-05                       1.010003E+02                       3.036732E+02                       1.007088E+02                       3.034225E+02
                            22.5000                       7.566647E-08                       3.274298E-05                       1.010003E+02                       3.036732E+02                       1.007175E+02                       3.034299E+02
                            22.6800                       7.649284E-08                       3.274094E-05                       1.010003E+02                       3.036732E+02                       1.007263E+02                       3.034375E+02
                            22.8600                       7.733637E-08                       3.273887E-05                       1.010003E+02                       3.036732E+02                       1.007352E+02                       3.034452E+02
                            23.0400                       7.819721E-08                       3.273678E-05                       1.010003E+02                       3.036732E+02                       1.007442E+02                       3.034530E+02
                            23.2200                       7.907554E-08                       3.273465E-05                       1.010003E+02                       3.036732E+02                       1.007534E+02                       3.034609E+02
                            23.4000                       7.997151E-08                       3.273250E-05                       1.010003E+02                       3.036732E+02                       1.007627E+02                       3.034689E+02
                            23.5800                       8.088530E-08                       3.273033E-05                       1.010003E+02                       3.036732E+02                       1.007720E+02                       3.034769E+02
                            23.7600                       8.181707E-08                       3.272813E-05                       1.010003E+02                       3.036732E+02                       1.007815E+02                       3.034851E+02
